ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = j2ka04
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
25/03/1988,1,1.99900000,0.00000000,0.06247500,0.00000000,0.06247500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,116.94536400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03455800,50.00000000,30.08877400,1.00000000,0.00000000,0.00000000
26/03/1988,2,2.00000000,0.00000000,0.06235000,0.00000000,0.06235000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,112.01933900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02209000,83.00000000,30.13478300,1.00000000,0.00000000,0.00000000
27/03/1988,3,2.59781500,0.00000000,0.06222500,0.00000000,0.06222500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,116.92410700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14604400,116.00000000,30.15255000,1.00000000,0.00000000,0.00000000
28/03/1988,4,2.87527200,0.00000000,0.06210100,0.00000000,0.06210100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,112.04339800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19995700,149.00000000,30.18772500,1.00000000,0.00000000,0.00000000
29/03/1988,5,3.00000000,1.25200000,0.18717700,0.12520000,0.06197700,0.06260000,0.06260000,0.00000000,0.00000000,0.00560900,0.00124000,0.00404400,0.00156500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00237900,0.00000000,110.23156200,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00118900,0.00118900,0.29356900,182.00000000,30.23799300,0.97673400,0.00000000,0.00000000
30/03/1988,6,3.39316100,1.71938700,0.27614900,0.17194000,0.10859100,0.10474600,0.06281200,0.00000000,0.00000000,0.01112600,0.00123700,0.00916900,0.00147200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69880100,0.00769100,0.00032200,109.09463700,1.19214200,1.00000000,0.00000000,12.28647500,0.51389600,0.25000000,0.00383800,0.00399900,0.52600600,215.00000000,30.25183900,0.87936900,0.00000000,0.00000000
31/03/1988,7,3.65281600,3.16454000,0.56496200,0.31645000,0.25288900,0.24798800,0.06408500,0.00000000,0.00000000,0.01889600,0.00196400,0.01680900,0.00160300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88878100,0.01380900,0.00032200,108.18497300,1.21724700,1.00000000,0.00000000,22.05870800,0.51389600,0.25084500,0.00688100,0.00704000,0.84964900,248.00000000,30.24124500,0.88853100,0.00000000,0.00000000
01/04/1988,8,3.92298200,5.44761000,1.02107100,0.54476000,0.48069100,0.47305900,0.06732100,0.00000000,0.00000000,0.02908600,0.00354700,0.02680200,0.00179900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.08851600,0.02109100,0.00032200,107.39138400,1.27077000,1.00000000,0.00000000,33.69231000,0.51389600,0.25593000,0.01049000,0.01064900,1.13971900,281.00000000,30.20203200,0.90592000,0.00000000,0.00000000
02/04/1988,9,4.00000000,9.11970600,1.75452800,0.91197000,0.84693900,0.83251700,0.07507200,0.00000000,0.00000000,0.04173800,0.00630300,0.03920800,0.00204600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.29633600,0.02971300,0.00032200,106.67083500,1.31953500,1.00000000,0.00000000,47.46563600,0.51389600,0.26885200,0.01474700,0.01490500,1.50958400,314.00000000,30.13277800,0.91949100,0.00000000,0.00000000
03/04/1988,10,4.21482700,14.33095800,2.79508500,1.43310000,1.36637000,1.33817700,0.09053800,0.00000000,0.00000000,0.05678900,0.01046000,0.05390400,0.00240200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.50386200,0.03954400,0.00032200,110.98274800,1.36313200,1.00000000,0.00000000,63.16912200,0.51389600,0.29980900,0.01957800,0.01973500,2.23810200,347.00000000,30.01425900,0.93001900,0.00000000,0.00000000
04/04/1988,11,4.33899000,21.36640600,4.18701900,2.13664000,2.06718200,2.00148600,0.11835100,0.00000000,0.00000000,0.07370300,0.01629400,0.06981500,0.00297100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.70048900,0.04984500,0.00063100,109.16655900,1.40063000,1.00000000,0.00000000,79.62514100,1.00809000,0.36157200,0.02461500,0.02492200,2.31074900,380.00000000,29.84158500,0.93800200,0.00000000,0.00000000
05/04/1988,12,4.45922900,28.46291600,5.57768300,2.84629000,2.77269900,2.65115200,0.15383200,0.00000000,0.00000000,0.09289800,0.02293700,0.08744200,0.00373100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.89983300,0.06142400,0.00119900,106.64443400,1.42358600,1.00000000,0.00000000,98.12092800,1.91500400,0.47265000,0.03024500,0.03082600,2.30922800,413.00000000,29.64434800,0.94244600,0.00000000,0.00000000
06/04/1988,13,4.57412200,37.85793600,7.42548500,3.78579000,3.70665500,3.50708600,0.21174400,0.00000000,0.00000000,0.11492600,0.03122900,0.10746000,0.00495500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09287900,0.07415500,0.00174100,115.52920300,1.44912600,1.00000000,0.00000000,118.45846400,2.78159000,0.61434500,0.03639900,0.03723700,3.22077000,446.00000000,29.38890800,0.94702700,0.00000000,0.00000000
07/04/1988,14,4.66732400,42.81616100,8.38996800,4.28162000,4.19506500,3.94655200,0.24835200,0.00000000,0.00000000,0.13856200,0.03786100,0.12918100,0.00622200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.27734100,0.08794200,0.00218100,115.67853700,1.46894800,1.00000000,0.00000000,140.48163800,3.48457600,0.84562300,0.04301800,0.04406100,3.52440700,479.00000000,29.14167000,0.95033600,0.00000000,0.00000000
08/04/1988,15,4.77636100,55.90482200,10.97304300,5.59048000,5.49554100,5.11626200,0.36124100,0.00000000,0.00000000,0.16391600,0.04827200,0.15115100,0.00883100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.42697900,0.10027700,0.00269600,111.40082700,1.50733300,1.00000000,0.00000000,160.18685100,4.30699200,0.99182100,0.04890200,0.05018400,3.60148800,512.00000000,28.83892800,0.95618100,0.00000000,0.00000000
09/04/1988,16,4.89118400,73.80808800,14.51141100,7.38081000,7.27487600,6.70195100,0.53458500,0.00000000,0.00000000,0.19397900,0.06298400,0.17667900,0.01254000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.60203800,0.11611000,0.00323800,126.13344000,1.52165300,1.00000000,0.00000000,185.47942100,5.17305300,1.44265400,0.05640200,0.05792900,5.10408600,545.00000000,28.42782600,0.95818500,0.00000000,0.00000000
10/04/1988,17,5.00000000,87.85941500,16.33542500,8.78594000,7.72402000,7.92266800,0.66253100,0.02620600,0.00000000,0.22779300,0.07255800,0.20564800,0.01648700,0.00011400,0.00000000,0.00000000,0.00000000,0.00000000,2.78638800,0.13461600,0.00375300,122.53917500,1.52766600,1.00000000,0.00000000,215.04118300,5.99446900,2.13492200,0.06509300,0.06684500,4.88873300,578.00000000,28.04725500,0.95899900,0.00000000,0.00000000
11/04/1988,18,5.03074300,108.34442800,19.00921300,10.83444000,8.38457800,9.68227600,0.87303800,0.06932200,0.00000000,0.26615700,0.08086900,0.23734900,0.02208300,0.00031600,0.00000000,0.00000000,0.00000000,0.00000000,2.96123500,0.15400600,0.00431400,119.92988200,1.54116700,1.00000000,0.00000000,246.01563000,6.89064600,2.64588900,0.07411300,0.07610800,4.72448600,611.00000000,27.63939900,0.96077200,0.00000000,0.00000000
12/04/1988,19,5.06113100,132.96445000,22.23008000,13.29645000,9.18026900,11.76860700,1.15427900,0.12692500,0.00000000,0.31130500,0.08922300,0.27432000,0.02911100,0.00060700,0.00000000,0.00000000,0.00000000,0.00000000,3.15199600,0.17734100,0.00486800,117.99856000,1.54685200,1.00000000,0.00000000,283.29166000,7.77713400,3.48657400,0.08485300,0.08707800,4.68269900,644.00000000,27.17130300,0.96149500,0.00000000,0.00000000
13/04/1988,20,5.09178100,159.18930300,25.66113200,15.91893000,10.02732900,13.95101900,1.48759000,0.19519400,0.00000000,0.36254900,0.09786900,0.31533400,0.03804600,0.00103100,0.00000000,0.00000000,0.00000000,0.00000000,3.34069300,0.20286300,0.00542800,116.59684200,1.55442400,1.00000000,0.00000000,324.06150200,8.67128100,4.60973900,0.09645700,0.09890600,4.75650900,677.00000000,26.64486700,0.96243900,0.00000000,0.00000000
14/04/1988,21,5.12305100,193.11444700,30.11180200,19.31144000,11.12680400,16.72947200,1.96296600,0.29256000,0.00000000,0.42221800,0.10806800,0.36135800,0.05017500,0.00165400,0.00000000,0.00000000,0.00000000,0.00000000,3.53102200,0.23120600,0.00599900,115.39717900,1.56293000,1.00000000,0.00000000,369.33787500,9.58349700,5.94085600,0.10917100,0.11183900,4.91429400,710.00000000,26.02420800,0.96347200,0.00000000,0.00000000
15/04/1988,22,5.15269600,227.27793600,34.59320700,22.72779000,12.23194500,19.47387900,2.48740700,0.39997600,0.00000000,0.48365800,0.11803200,0.40958900,0.06191000,0.00228500,0.00000000,0.00000000,0.00000000,0.00000000,3.72519600,0.26300700,0.00654100,114.22178300,1.55733500,1.00000000,0.00000000,420.13822900,10.44831500,7.83932100,0.12322400,0.12608600,5.06762200,732.29400000,25.39429500,0.96279600,0.00000000,0.00000000
