ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = bmw109
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sw_uptake(10),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),()
28/10/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.22184900,0.20768800,0.24375300,0.23263300,0.21620000,0.20114400,0.21009600,0.22785800,0.23095300,0.22606000,20.04180500,15.48462300,6.79070500,14.67056600,14.64482600,14.63583100,6.22485700,6.21573900,7.22424000,7.22629200,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
29/10/1985,1,1.99900000,0.00000000,0.02155700,0.00000000,0.02155700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00043100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,99.07010500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.90080500,1.00000000,1.00000000,0.00000000,0.00000000,0.03006500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.23570100,0.23616700,0.24060500,0.23297500,0.21640400,0.20128800,0.21019000,0.22772000,0.23090500,0.22611900,19.16172600,17.79581500,6.97362600,15.24918100,15.21287800,15.19547300,6.77286600,6.75362700,8.03073100,8.03295700,0.00000000,0.00000000,0.00000000,0.36345100,1.00000000,1.00000000
29/10/1985,1,1.99900000,0.00000000,0.02155700,0.00000000,0.02155700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00043100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,99.07010500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.90080500,1.00000000,1.00000000,0.00000000,0.00000000,0.03006500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.23570100,0.23616700,0.24060500,0.23297500,0.21640400,0.20128800,0.21019000,0.22772000,0.23090500,0.22611900,19.16172600,17.79581500,6.97362600,15.24918100,15.21287800,15.19547300,6.77286600,6.75362700,8.03073100,8.03295700,0.00000000,0.00000000,0.00000000,0.36345100,1.00000000,1.00000000
30/10/1985,2,2.00000000,0.00000000,0.02151400,0.00000000,0.02151400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00043000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,95.62896000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.36591700,1.00000000,1.00000000,0.00000000,0.00000000,0.02073000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.20598600,0.23304700,0.23809500,0.23311800,0.21660800,0.20143400,0.21028200,0.22758400,0.23085800,0.22617800,20.33995100,17.89251300,7.13553000,15.74808400,15.71298800,15.68791400,7.25316200,7.22317600,8.73448400,8.73600000,0.00000000,0.00000000,0.00000000,0.21446700,1.00000000,1.00000000
30/10/1985,2,2.00000000,0.00000000,0.02151400,0.00000000,0.02151400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00043000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,95.62896000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.36591700,1.00000000,1.00000000,0.00000000,0.00000000,0.02073000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.20598600,0.23304700,0.23809500,0.23311800,0.21660800,0.20143400,0.21028200,0.22758400,0.23085800,0.22617800,20.33995100,17.89251300,7.13553000,15.74808400,15.71298800,15.68791400,7.25316200,7.22317600,8.73448400,8.73600000,0.00000000,0.00000000,0.00000000,0.21446700,1.00000000,1.00000000
31/10/1985,3,2.51657400,0.00000000,0.02147100,0.00000000,0.02147100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00042900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93.50575600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.89127800,1.00000000,1.00000000,0.00000000,0.00000000,0.07102400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,111.81735600,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18942300,0.22992100,0.23591400,0.23311600,0.21680900,0.20158100,0.21037300,0.22745200,0.23081000,0.22623600,21.44221100,17.93950300,7.27438100,16.18042900,16.15553300,16.12360800,7.67610300,7.63475900,9.35082800,9.35061600,0.00000000,0.00000000,0.00000000,0.67842200,1.00000000,1.00000000
31/10/1985,3,2.51657400,0.00000000,0.02147100,0.00000000,0.02147100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00042900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93.50575600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.89127800,1.00000000,1.00000000,0.00000000,0.00000000,0.07102400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,111.81735600,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18942300,0.22992100,0.23591400,0.23311600,0.21680900,0.20158100,0.21037300,0.22745200,0.23081000,0.22623600,21.44221100,17.93950300,7.27438100,16.18042900,16.15553300,16.12360800,7.67610300,7.63475900,9.35082800,9.35061600,0.00000000,0.00000000,0.00000000,0.67842200,1.00000000,1.00000000
01/11/1985,4,2.78239500,0.00000000,0.02142800,0.00000000,0.02142800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00042900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93.20200000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.96193000,1.00000000,1.00000000,0.00000000,0.00000000,0.15346300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,144.81735600,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.19046600,0.22732600,0.23401800,0.23300400,0.21700400,0.20172800,0.21046100,0.22732200,0.23076300,0.22629400,22.41971200,17.97966200,7.38972300,16.54855700,16.54151900,16.50449600,8.04439400,7.99181700,9.88610700,9.88418500,0.00000000,0.00000000,0.00000000,1.49240600,1.00000000,1.00000000
01/11/1985,4,2.78239500,0.00000000,0.02142800,0.00000000,0.02142800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00042900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93.20200000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.96193000,1.00000000,1.00000000,0.00000000,0.00000000,0.15346300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,144.81735600,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.19046600,0.22732600,0.23401800,0.23300400,0.21700400,0.20172800,0.21046100,0.22732200,0.23076300,0.22629400,22.41971200,17.97966200,7.38972300,16.54855700,16.54151900,16.50449600,8.04439400,7.99181700,9.88610700,9.88418500,0.00000000,0.00000000,0.00000000,1.49240600,1.00000000,1.00000000
