ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = bmw111
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
28/10/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.19953600,0.14762600,0.14702700,0.15800000,0.17700000,0.17701500,0.18702600,0.20206300,0.22493100,21.10230100,14.06834700,6.75250200,14.00000000,14.00000000,14.00044700,5.99750500,6.22313400,9.34086600,0.00000000,0.00000000
29/10/1985,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,30.03342800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.90080500,1.00000000,1.00000000,0.00000000,0.00000000,0.02586200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.22232200,0.16507200,0.14730700,0.15800000,0.17700000,0.17703000,0.18705100,0.20212600,0.22486200,20.61312900,15.90976900,6.77935000,14.00000000,14.00000000,14.00092800,6.35940700,6.75997300,10.14514900,0.00000000,0.00000000
29/10/1985,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,30.03342800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.90080500,1.00000000,1.00000000,0.00000000,0.00000000,0.02586200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.22232200,0.16507200,0.14730700,0.15800000,0.17700000,0.17703000,0.18705100,0.20212600,0.22486200,20.61312900,15.90976900,6.77935000,14.00000000,14.00000000,14.00092800,6.35940700,6.75997300,10.14514900,0.00000000,0.00000000
30/10/1985,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,26.56068200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.36591700,1.00000000,1.00000000,0.00000000,0.00000000,0.01480200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,77.08605100,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18711500,0.16558200,0.14759300,0.15800000,0.17700000,0.17704500,0.18707700,0.20218700,0.22479400,21.33535400,16.38324000,6.80706700,14.00000000,14.00000000,14.00143800,6.68867500,7.22470000,10.83797800,0.00000000,0.00000000
30/10/1985,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,26.56068200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.36591700,1.00000000,1.00000000,0.00000000,0.00000000,0.01480200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,77.08605100,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18711500,0.16558200,0.14759300,0.15800000,0.17700000,0.17704500,0.18707700,0.20218700,0.22479400,21.33535400,16.38324000,6.80706700,14.00000000,14.00000000,14.00143800,6.68867500,7.22470000,10.83797800,0.00000000,0.00000000
31/10/1985,3,2.51657400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,24.55744200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.89127800,1.00000000,1.00000000,0.00000000,0.00000000,0.03143500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,89.31486700,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.16730500,0.16538900,0.14787100,0.15800000,0.17700000,0.17706000,0.18710300,0.20224800,0.22472600,22.04926300,16.73280300,6.83461600,14.00000000,14.00000000,14.00197600,6.98805800,7.62683200,11.43363100,0.00000000,0.00000000
31/10/1985,3,2.51657400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,24.55744200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.89127800,1.00000000,1.00000000,0.00000000,0.00000000,0.03143500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,89.31486700,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.16730500,0.16538900,0.14787100,0.15800000,0.17700000,0.17706000,0.18710300,0.20224800,0.22472600,22.04926300,16.73280300,6.83461600,14.00000000,14.00000000,14.00197600,6.98805800,7.62683200,11.43363100,0.00000000,0.00000000
01/11/1985,4,2.78239500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,24.36639800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.96193000,1.00000000,1.00000000,0.00000000,0.00000000,0.04592100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,100.29850900,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.16564500,0.16516900,0.14814100,0.15800000,0.17700000,0.17707500,0.18712900,0.20230700,0.22465900,22.67974700,17.03079200,6.86195800,14.00000000,14.00000000,14.00254000,7.26009900,7.97297100,11.94312400,0.00000000,0.00000000
01/11/1985,4,2.78239500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,24.36639800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.96193000,1.00000000,1.00000000,0.00000000,0.00000000,0.04592100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,100.29850900,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.16564500,0.16516900,0.14814100,0.15800000,0.17700000,0.17707500,0.18712900,0.20230700,0.22465900,22.67974700,17.03079200,6.86195800,14.00000000,14.00000000,14.00254000,7.26009900,7.97297100,11.94312400,0.00000000,0.00000000
02/11/1985,5,3.00000000,1.12200000,0.11220000,0.11220000,0.00000000,0.05610000,0.05610000,0.00000000,0.00000000,0.00502700,0.00000000,0.00362400,0.00140300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00213200,0.00000000,24.17751300,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.37134700,1.00000000,1.00000000,0.00106500,0.00106500,0.06074200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,110.74297600,0.00084200,0.00000000,0.00084200,0.50000000,0.16402900,0.16492600,0.14840300,0.15800000,0.17700000,0.17709000,0.18715600,0.20236600,0.22459200,23.20984100,17.27448300,6.88895300,14.00000000,14.00000000,14.00312600,7.50714600,8.26813500,12.37587400,0.00168300,0.00084200
02/11/1985,5,3.00000000,1.12200000,0.11220000,0.11220000,0.00000000,0.05610000,0.05610000,0.00000000,0.00000000,0.00502700,0.00000000,0.00362400,0.00140300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00213200,0.00000000,24.17751300,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.37134700,1.00000000,1.00000000,0.00106500,0.00106500,0.06074200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,110.74297600,0.00084200,0.00000000,0.00084200,0.50000000,0.16402900,0.16492600,0.14840300,0.15800000,0.17700000,0.17709000,0.18715600,0.20236600,0.22459200,23.20984100,17.27448300,6.88895300,14.00000000,14.00000000,14.00312600,7.50714600,8.26813500,12.37587400,0.00168300,0.00084200
03/11/1985,6,3.29632800,1.43749400,0.17181700,0.14375000,0.03154900,0.08402500,0.05624300,0.00000000,0.00000000,0.01000100,0.00017600,0.00833500,0.00132000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69032800,0.00691400,0.00028700,23.99076300,1.20560300,1.00000000,0.00000000,12.32434300,0.51070200,0.25000000,12.23729200,1.00000000,1.00000000,0.00345100,0.00359400,0.06703200,0.00343800,0.00001500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00345300,120.99007800,0.00515000,0.00050200,0.00464800,0.52563700,0.16242100,0.16466300,0.14865600,0.15800000,0.17700000,0.17710500,0.18718200,0.20242400,0.22452600,23.61674100,17.46545800,6.91547300,14.00000000,14.00000000,14.00373400,7.73136300,8.51886700,12.74231300,0.00979800,0.00515000
03/11/1985,6,3.29632800,1.43749400,0.17181700,0.14375000,0.03154900,0.08402500,0.05624300,0.00000000,0.00000000,0.01000100,0.00017600,0.00833500,0.00132000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69032800,0.00691400,0.00028700,23.99076300,1.20560300,1.00000000,0.00000000,12.32434300,0.51070200,0.25000000,12.23729200,1.00000000,1.00000000,0.00345100,0.00359400,0.06703200,0.00343800,0.00001500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00345300,120.99007800,0.00515000,0.00050200,0.00464800,0.52563700,0.16242100,0.16466300,0.14865600,0.15800000,0.17700000,0.17710500,0.18718200,0.20242400,0.22452600,23.61674100,17.46545800,6.91547300,14.00000000,14.00000000,14.00373400,7.73136300,8.51886700,12.74231300,0.00979800,0.00515000
04/11/1985,7,3.54228800,2.44537100,0.37332900,0.24454000,0.13227400,0.18394600,0.05711000,0.00000000,0.00000000,0.01750400,0.00086000,0.01563000,0.00152800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87859400,0.01224900,0.00028700,23.80267000,1.27606000,1.00000000,0.00000000,21.83379100,0.51070200,0.25063700,12.29797900,1.00000000,1.00000000,0.00610600,0.00624800,0.07193900,0.01118300,0.00025300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01143600,131.02508200,0.00818700,0.00169500,0.00649200,0.55773800,0.16077300,0.16438000,0.14890100,0.15800000,0.17700000,0.17712000,0.18720900,0.20248000,0.22446000,23.92323700,17.60668900,6.94140600,14.00000000,14.00000000,14.00436100,7.93474200,8.73092100,13.05152200,0.01467900,0.00818700
04/11/1985,7,3.54228800,2.44537100,0.37332900,0.24454000,0.13227400,0.18394600,0.05711000,0.00000000,0.00000000,0.01750400,0.00086000,0.01563000,0.00152800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87859400,0.01224900,0.00028700,23.80267000,1.27606000,1.00000000,0.00000000,21.83379100,0.51070200,0.25063700,12.29797900,1.00000000,1.00000000,0.00610600,0.00624800,0.07193900,0.01118300,0.00025300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01143600,131.02508200,0.00818700,0.00169500,0.00649200,0.55773800,0.16077300,0.16438000,0.14890100,0.15800000,0.17700000,0.17712000,0.18720900,0.20248000,0.22446000,23.92323700,17.60668900,6.94140600,14.00000000,14.00000000,14.00436100,7.93474200,8.73092100,13.05152200,0.01467900,0.00818700
05/11/1985,8,3.80284900,4.48883100,0.78175700,0.44888000,0.33635500,0.38546100,0.05994100,0.00000000,0.00000000,0.02741400,0.00249800,0.02525000,0.00181800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06779400,0.01831300,0.00028700,23.60869800,1.37883300,1.00000000,0.00000000,32.64337300,0.51070200,0.25449900,13.02804900,1.00000000,1.00000000,0.00911500,0.00925700,0.07637500,0.02535000,0.00151100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02686200,140.82672900,0.01155000,0.00402100,0.00752900,0.60537100,0.15902100,0.16406900,0.14913700,0.15800000,0.17700000,0.17713600,0.18723600,0.20253600,0.22439500,24.14028900,17.70341700,6.96664800,14.00000000,14.00000000,14.00500600,8.11911900,8.91008600,13.31216000,0.01908000,0.01155000
05/11/1985,8,3.80284900,4.48883100,0.78175700,0.44888000,0.33635500,0.38546100,0.05994100,0.00000000,0.00000000,0.02741400,0.00249800,0.02525000,0.00181800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06779400,0.01831300,0.00028700,23.60869800,1.37883300,1.00000000,0.00000000,32.64337300,0.51070200,0.25449900,13.02804900,1.00000000,1.00000000,0.00911500,0.00925700,0.07637500,0.02535000,0.00151100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02686200,140.82672900,0.01155000,0.00402100,0.00752900,0.60537100,0.15902100,0.16406900,0.14913700,0.15800000,0.17700000,0.17713600,0.18723600,0.20253600,0.22439500,24.14028900,17.70341700,6.96664800,14.00000000,14.00000000,14.00500600,8.11911900,8.91008600,13.31216000,0.01908000,0.01155000
06/11/1985,9,4.00000000,6.30484800,1.14428700,0.63048000,0.51728400,0.56337000,0.06363300,0.00000000,0.00000000,0.03774700,0.00412400,0.03542800,0.00197400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.26822600,0.02557400,0.00028700,25.30633000,1.38531700,1.00000000,0.00000000,45.58619200,0.51070200,0.26711500,11.88313200,1.00000000,1.00000000,0.01270600,0.01284700,0.15678500,0.01372600,0.00081800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01454400,150.72523000,0.01196500,0.00198500,0.00998000,0.54521800,0.17602200,0.16419800,0.14937100,0.15800000,0.17700000,0.17715100,0.18726200,0.20259100,0.22433000,24.22709500,17.82550600,6.99204500,14.00000000,14.00000000,14.00566800,8.28617700,9.06008100,13.53024500,0.02194500,0.01196500
06/11/1985,9,4.00000000,6.30484800,1.14428700,0.63048000,0.51728400,0.56337000,0.06363300,0.00000000,0.00000000,0.03774700,0.00412400,0.03542800,0.00197400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.26822600,0.02557400,0.00028700,25.30633000,1.38531700,1.00000000,0.00000000,45.58619200,0.51070200,0.26711500,11.88313200,1.00000000,1.00000000,0.01270600,0.01284700,0.15678500,0.01372600,0.00081800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01454400,150.72523000,0.01196500,0.00198500,0.00998000,0.54521800,0.17602200,0.16419800,0.14937100,0.15800000,0.17700000,0.17715100,0.18726200,0.20259100,0.22433000,24.22709500,17.82550600,6.99204500,14.00000000,14.00000000,14.00566800,8.28617700,9.06008100,13.53024500,0.02194500,0.01196500
