ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Quincy786
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
31/03/1978,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.70012700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.02850900,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.34075100,0.34511900,0.31695400,0.35404700,0.38225000,0.36022500,0.33092300,5.48666000,2.14205700,2.34083300,1.37266200,0.93644900,0.46256700,0.46186300,0.00000000,0.00000000
01/04/1978,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.08733000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.38019100,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.33919800,0.33954400,0.31899300,0.35322200,0.38238900,0.36044100,0.33087400,9.75817700,2.11403000,2.36242500,1.36891600,0.93637500,0.46312400,0.46176400,0.00000000,0.00000000
02/04/1978,3,2.51062300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,119.50530600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.60922400,1.00000000,1.00000000,0.00000000,0.00000000,0.08332600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.33596800,0.33653400,0.32066000,0.35250800,0.38244000,0.36064100,0.33085100,14.39015700,2.09956600,2.37979500,1.36569100,0.93587400,0.46365100,0.46169600,0.00000000,0.00000000
03/04/1978,4,2.79218800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,118.94920300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.67044200,1.00000000,1.00000000,0.00000000,0.00000000,0.22151200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.33293100,0.33403800,0.32203300,0.35189000,0.38242200,0.36081900,0.33084800,19.18013800,2.08614800,2.39375700,1.36292600,0.93502800,0.46412900,0.46165300,0.00000000,0.00000000
04/04/1978,5,3.00000000,1.20000000,0.17988000,0.12000000,0.05988000,0.06000000,0.06000000,0.00000000,0.00000000,0.00537600,0.00119800,0.00387600,0.00150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00228000,0.00000000,118.41518400,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.86226900,1.00000000,1.00000000,0.00113900,0.00113900,0.45798700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,182.00000000,0.00090000,0.00000000,0.00090000,0.50000000,0.33017500,0.33185200,0.32316400,0.35135700,0.38235000,0.36097200,0.33086000,24.01959600,2.07270300,2.40489800,1.36056800,0.93391100,0.46454800,0.46162800,0.00180000,0.00090000
05/04/1978,6,3.15477800,1.67006400,0.27377300,0.16701000,0.10676700,0.10679400,0.06021300,0.00000000,0.00000000,0.00848800,0.00119500,0.00695900,0.00153000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69788100,0.00494800,0.00000000,117.90020800,1.40644200,1.00000000,0.00000000,8.24620900,0.00000000,0.25000000,11.96707800,1.00000000,1.00000000,0.00247100,0.00247100,0.62505400,0.01328000,0.00023100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01351100,215.00000000,0.00311200,0.00078100,0.00233100,0.57174500,0.32758000,0.32991200,0.32409400,0.35089500,0.38223700,0.36109900,0.33088400,28.84463900,2.03267500,2.41368700,1.35858500,0.93265800,0.46490600,0.46161600,0.00544400,0.00311200
06/04/1978,7,3.26895200,2.69664300,0.47887500,0.26966000,0.20921100,0.20854900,0.06111500,0.00000000,0.00000000,0.01286400,0.00181200,0.01118100,0.00168400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88199000,0.00781600,0.00000000,117.38834000,1.43037700,1.00000000,0.00000000,13.02749400,0.00000000,0.25088700,11.41739800,1.00000000,1.00000000,0.00390100,0.00390100,0.80929600,0.02480000,0.00220800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02700800,248.00000000,0.00499500,0.00172100,0.00327400,0.60405900,0.32516100,0.32813400,0.32485300,0.35049600,0.38209400,0.36119800,0.33091600,33.63653600,1.99929200,2.42040600,1.35693000,0.93133800,0.46520100,0.46161200,0.00826900,0.00499500
07/04/1978,8,3.41283800,4.33808200,0.80674500,0.43381000,0.37293600,0.37040200,0.06340600,0.00000000,0.00000000,0.01801800,0.00314600,0.01615700,0.00186100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.05764200,0.01093900,0.00000000,116.87767800,1.47696800,1.00000000,0.00000000,18.23200500,0.00000000,0.25464500,14.38853500,1.00000000,1.00000000,0.00545500,0.00545500,1.05392800,0.03199800,0.00716900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.03916700,281.00000000,0.00649100,0.00256700,0.00392300,0.62326300,0.32291500,0.32647300,0.32546600,0.35015000,0.38192900,0.36127100,0.33095100,38.38894300,1.97534500,2.42540000,1.35555900,0.92998700,0.46543300,0.46161200,0.01041400,0.00649100
08/04/1978,9,3.56652400,6.43847100,1.22607700,0.64385000,0.58222900,0.57625000,0.06759700,0.00000000,0.00000000,0.02485300,0.00505100,0.02284200,0.00201200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.27900400,0.01539000,0.00000000,116.36798100,1.48413900,1.00000000,0.00000000,25.65081500,0.00000000,0.26419300,15.36860400,1.00000000,1.00000000,0.00766600,0.00766600,1.38580900,0.03950900,0.01685000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05635900,314.00000000,0.00874700,0.00361000,0.00513700,0.62999800,0.32080100,0.32488900,0.32595300,0.34985000,0.38175000,0.36131900,0.33098800,43.08985900,1.95961400,2.42894600,1.35439900,0.92863900,0.46560500,0.46161100,0.01388400,0.00874700
