ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_K842_K842P3W
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
07/02/1984,1,1.99900000,0.00000000,0.02994000,0.00000000,0.02994000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00059900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,141.45100800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00221900,30.00000000,72.03809400,1.00000000,0.00000000,0.00000000
08/02/1984,2,2.00000000,0.00000000,0.02988000,0.00000000,0.02988000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00059800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,138.19096000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00174400,50.67011600,88.88968700,1.00000000,0.00000000,0.00000000
09/02/1984,3,3.00000000,0.60000000,0.08982000,0.06000000,0.02982000,0.03000000,0.03000000,0.00000000,0.00000000,0.00268800,0.00059600,0.00193800,0.00075000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00114000,0.00000000,135.69653700,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00057000,0.00057000,0.00648200,64.72453700,101.17951200,0.97673400,0.00000000,0.00000000
10/02/1984,4,3.29848800,0.84027300,0.13781500,0.08403000,0.05378800,0.05391800,0.03010900,0.00000000,0.00000000,0.00515300,0.00059500,0.00447900,0.00067500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82384600,0.00353800,0.00000000,153.27601200,1.26579000,1.00000000,0.00000000,11.79485100,0.00000000,0.25000000,0.00176800,0.00176800,0.04053100,97.72453700,108.64289900,0.90441700,0.00000000,0.00000000
11/02/1984,5,3.48448800,1.32597300,0.23484800,0.13260000,0.10225000,0.10189600,0.03070100,0.00000000,0.00000000,0.00854900,0.00085300,0.00778400,0.00076500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.14692300,0.00608600,0.00000000,154.44728900,1.27897900,1.00000000,0.00000000,20.28656600,0.00000000,0.25090700,0.00303800,0.00303800,0.15112300,130.72453700,113.63325500,0.90834700,0.00000000,0.00000000
12/02/1984,6,3.61874500,2.17946200,0.40534100,0.21795000,0.18739500,0.18524900,0.03269700,0.00000000,0.00000000,0.01299200,0.00148800,0.01207800,0.00091500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.43307700,0.00892300,0.00000000,154.57544700,1.35351300,1.00000000,0.00000000,29.74465700,0.00000000,0.25584600,0.00445200,0.00445200,0.36543000,163.72453700,117.07385300,0.92781700,0.00000000,0.00000000
13/02/1984,7,3.81224500,3.22627500,0.61130700,0.32263000,0.29170100,0.28313700,0.03646900,0.00000000,0.00000000,0.01729200,0.00238700,0.01603400,0.00108700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.63962600,0.01129500,0.00012100,150.76368700,1.41959600,1.00000000,0.00000000,37.64944600,0.40177800,0.27247500,0.00563100,0.00569100,0.60081000,196.72453700,119.68909500,0.94169600,0.00000000,0.00000000
14/02/1984,8,4.00000000,5.08407900,0.97521700,0.50841000,0.47689800,0.45318400,0.04513500,0.00000000,0.00000000,0.02315000,0.00387500,0.02139900,0.00124600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.93731800,0.01518200,0.00035700,153.99630700,1.40949200,1.00000000,0.00000000,50.60662000,1.19097000,0.30390700,0.00756200,0.00774000,0.83154400,229.72453700,121.19660200,0.93975500,0.00000000,0.00000000
15/02/1984,9,4.11011000,7.62326300,1.47323600,0.76233000,0.72986300,0.68200300,0.06137000,0.00000000,0.00000000,0.03100200,0.00610100,0.02852500,0.00160200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.23270300,0.01988200,0.00061600,152.43480300,1.43472900,1.00000000,0.00000000,66.27235400,2.05236900,0.37612300,0.00989200,0.01019600,1.10990900,262.72453700,122.31227100,0.94449000,0.00000000,0.00000000
16/02/1984,10,4.21441300,11.53337200,2.24391200,1.15334000,1.11941400,1.03060300,0.09389500,0.00000000,0.00000000,0.04145500,0.00944100,0.03795700,0.00225800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.55424100,0.02611600,0.00086600,145.42983200,1.45343700,1.00000000,0.00000000,87.05191200,2.88743800,0.51142000,0.01297300,0.01340000,1.16749200,295.72453700,123.27745800,0.94776500,0.00000000,0.00000000
17/02/1984,11,4.31897500,16.20281600,3.16480500,1.62028000,1.58412000,1.43723100,0.14345500,0.00000000,0.00000000,0.05436000,0.01367700,0.04935800,0.00339300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.86501000,0.03343700,0.00111600,141.49624300,1.47615000,1.00000000,0.00000000,111.45636800,3.72159000,0.78245500,0.01657900,0.01712800,1.47945800,328.72453700,124.12683100,0.95148800,0.00000000,0.00000000
18/02/1984,12,4.42405300,21.81474100,4.27262300,2.18147000,2.14214400,1.91408400,0.21639500,0.00000000,0.00000000,0.07050700,0.01893400,0.06328900,0.00523200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.17654900,0.04222700,0.00136800,144.35263400,1.49876800,1.00000000,0.00000000,140.75754100,4.55986100,1.19545500,0.02089200,0.02156200,2.26362800,361.72453700,124.67266800,0.95493800,0.00000000,0.00000000
19/02/1984,13,4.53171300,30.16473500,5.92559600,3.01647000,2.97285900,2.60678900,0.34594800,0.00000000,0.00000000,0.09187400,0.02661700,0.08070700,0.00878600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.48962600,0.05271600,0.00162600,146.93967100,1.53097300,1.00000000,0.00000000,175.72145700,5.41872900,1.80329100,0.02601400,0.02680500,2.91551700,394.72453700,124.99441500,0.95944100,0.00000000,0.00000000
20/02/1984,14,4.63978400,39.81759000,7.83683900,3.98176000,3.93219900,3.38356800,0.52107100,0.00000000,0.00000000,0.11797400,0.03585000,0.10134700,0.01384600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.81039500,0.06539300,0.00188400,147.80945600,1.54982100,1.00000000,0.00000000,217.97536800,6.28087600,2.88289800,0.03216800,0.03307900,3.44820800,427.72453700,125.16388700,0.96186800,0.00000000,0.00000000
21/02/1984,15,4.74641100,56.65194300,11.16241800,5.66519000,5.60777000,4.68171200,0.87293600,0.00000000,0.00000000,0.15409800,0.05111900,0.12609300,0.02432400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.13238900,0.08001500,0.00245600,142.35863900,1.57586700,1.00000000,0.00000000,266.71587300,8.18521100,4.34226200,0.03921800,0.04039700,3.37682800,460.72453700,125.22006200,0.96499000,0.00000000,0.00000000
