ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Maize_Exp1 3N Yr1_2
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
19/02/1999,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,263.22470100,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,16.93500000,1.00000000,1.00000000,0.00000000,0.00000000,0.02192600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.38562400,0.42920700,0.46000000,0.44000000,0.40000000,0.41000000,0.38000000,12.40763300,10.75596700,22.23769000,10.98821300,8.55048500,4.20143700,0.91761800,0.00000000,0.00000000
20/02/1999,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,259.98814000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.78299500,1.00000000,1.00000000,0.00000000,0.00000000,0.01833100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.36503100,0.42883900,0.45969200,0.44000000,0.40000000,0.41000000,0.38000000,12.00479900,10.78122300,22.29486300,11.06340600,8.63116600,4.27776400,0.99211200,0.00000000,0.00000000
21/02/1999,3,2.61524300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,257.35666700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.91671200,1.00000000,1.00000000,0.00000000,0.00000000,0.07071100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.34857000,0.42837100,0.45938500,0.44000000,0.40000000,0.41000000,0.38000000,11.72899600,10.79260700,22.33275200,11.12031000,8.69354300,4.33657600,1.05008100,0.00000000,0.00000000
22/02/1999,4,2.94045000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,255.94788000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14.63432600,1.00000000,1.00000000,0.00000000,0.00000000,0.17498300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.34028900,0.42787600,0.45907800,0.44000000,0.40000000,0.41000000,0.38000000,18.15274400,10.79549700,22.35691500,11.16403200,8.74255300,4.38234400,1.09558500,0.00000000,0.00000000
23/02/1999,5,3.00000000,1.34000000,0.13400000,0.13400000,0.00000000,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00000000,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,254.85394700,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,15.40946100,1.00000000,1.00000000,0.00127200,0.00127200,0.34233200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,181.51468500,0.00100500,0.00000000,0.00100500,0.50000000,0.33411800,0.42736900,0.45877000,0.44000000,0.40000000,0.41000000,0.38000000,26.56020900,10.79274800,22.37122300,11.19820100,8.78175700,4.41831000,1.13160200,0.00201000,0.00100500
24/02/1999,6,3.26889700,1.62413100,0.18812600,0.16241000,0.02841300,0.09258400,0.06712900,0.00000000,0.00000000,0.01034700,0.00015400,0.00853700,0.00156100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73706900,0.00673800,0.00019700,253.92723500,1.26699200,1.00000000,0.00000000,10.05656000,0.29332600,0.25000000,14.16000000,1.00000000,1.00000000,0.00336300,0.00346100,0.45674900,0.00321400,0.00015100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00336500,214.51468500,0.00449800,0.00022500,0.00427300,0.51284200,0.32904400,0.42685800,0.45846200,0.44000000,0.40000000,0.41000000,0.38000000,34.16890700,10.78037100,22.37637700,11.22304100,8.81114300,4.44475200,1.15840000,0.00877200,0.00449800
25/02/1999,7,3.41554300,2.90655700,0.44455400,0.29066000,0.15659900,0.21957100,0.06838400,0.00000000,0.00000000,0.01706600,0.00098100,0.01501100,0.00180600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95491500,0.01152600,0.00019700,263.17863800,1.30232000,1.00000000,0.00000000,17.20294700,0.29332600,0.25048000,14.66462000,1.00000000,1.00000000,0.00574600,0.00584400,1.13222900,0.01887400,0.00251300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02138700,247.51468500,0.00754600,0.00135400,0.00619200,0.54927200,0.38767900,0.42998300,0.45836000,0.44000000,0.40000000,0.41000000,0.38000000,40.32347100,11.07842300,22.38663500,11.24247000,8.83469100,4.46522000,1.17926200,0.01373700,0.00754600
26/02/1999,8,3.57434300,4.26145600,0.71522100,0.42615000,0.29177600,0.35284900,0.07059600,0.00000000,0.00000000,0.02525200,0.00210100,0.02299200,0.00201100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.18052400,0.01730900,0.00019700,262.18633300,1.32829400,1.00000000,0.00000000,25.83478600,0.29332600,0.25516500,15.87999900,1.00000000,1.00000000,0.00861700,0.00871500,1.52402100,0.01250300,0.00436600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01686900,280.51468500,0.00930800,0.00106800,0.00824000,0.53042000,0.38195900,0.42967200,0.45808300,0.44000000,0.40000000,0.41000000,0.38000000,45.41195300,11.07089400,22.38447400,11.25792300,8.85381600,4.48109500,1.19548500,0.01754800,0.00930800
27/02/1999,9,3.73539300,6.00417700,1.06318100,0.60042000,0.46546400,0.52281000,0.07490700,0.00000000,0.00000000,0.03565200,0.00358400,0.03319600,0.00220700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42483200,0.02462400,0.00019700,260.52894600,1.34809700,1.00000000,0.00000000,36.75239100,0.29332600,0.26341800,16.10500000,1.00000000,1.00000000,0.01223700,0.01233400,2.05080600,0.01074900,0.00772100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01847000,313.51468500,0.01188700,0.00108100,0.01080600,0.52382100,0.37188500,0.42924000,0.45780600,0.44000000,0.40000000,0.41000000,0.38000000,49.13533800,11.04707400,22.37974000,11.27037400,8.86948300,4.49339400,1.20805000,0.02269400,0.01188700
