ApsimVersion = 7.10 r22b4d7414e7b8cfaa097e0463215cb4954556333
Title = j2ki10
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()
     05/04/1988               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           31.5          1.000            0.0              ?
     06/04/1988               1          1.999            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.506          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.001         50.000           31.5          1.000            0.0          0.000
     06/04/1988               1          1.999            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.506          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.001         50.000           31.5          1.000            0.0          0.000
     07/04/1988               2          2.000            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.097          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         50.000           31.3          1.000            0.0          0.000
     07/04/1988               2          2.000            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.097          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         50.000           31.3          1.000            0.0          0.000
     08/04/1988               3          2.334            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        109.050          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.035         83.000           31.0          1.000            0.0          0.000
     08/04/1988               3          2.334            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        109.050          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.035         83.000           31.0          1.000            0.0          0.000
     09/04/1988               4          2.677            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        105.613          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.101        113.497           30.7          1.000            0.0          0.000
     09/04/1988               4          2.677            0.0           0.08           0.00           0.08           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        105.613          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.101        113.497           30.7          1.000            0.0          0.000
     10/04/1988               5          3.000            1.6           0.24           0.16           0.08           0.08           0.08           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        104.566          1.700          1.000          0.000          3.800          0.000          0.000          0.002          0.002          0.194        146.497           30.4          0.977            0.0          0.000
     10/04/1988               5          3.000            1.6           0.24           0.16           0.08           0.08           0.08           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        104.566          1.700          1.000          0.000          3.800          0.000          0.000          0.002          0.002          0.194        146.497           30.4          0.977            0.0          0.000
