ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Gjunct85
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress,AccumTT,GrainTempFactor
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),(),(oCd),()
07/05/1985,1,1.99900000,0.00000000,0.10479000,0.00000000,0.10479000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00209600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,197.83902400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.54861100,1.00000000,1.00000000,0.00000000,0.00000000,0.02868700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.40140400,0.40752300,0.50000000,0.48000000,0.49000000,0.44000000,0.40000000,0.42000000,0.42000000,25.40383900,17.48225400,9.01516200,9.01378700,9.76369800,9.76234800,19.52026400,19.51620900,19.51293600,0.00000000,0.00000000,0.00000000,0.14507700,1.00000000,1.00000000,9.54861100,1.00000000
08/05/1985,2,2.00000000,0.00000000,0.10458000,0.00000000,0.10458000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00209200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,195.08316000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.76121500,1.00000000,1.00000000,0.00000000,0.00000000,0.02641600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.39258300,0.41987300,0.47809800,0.48000000,0.49000000,0.44000000,0.40000000,0.42000000,0.42000000,37.19622800,17.47445100,8.63500000,9.02774900,9.77830600,9.77582600,19.54364000,19.53523300,19.52829600,0.00000000,0.00000000,0.00000000,0.12826200,1.00000000,1.00000000,19.30982700,1.00000000
09/05/1985,3,2.43619900,0.00000000,0.10437100,0.00000000,0.10437100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00208700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,194.41335700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.87749300,1.00000000,1.00000000,0.00000000,0.00000000,0.13062900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.40089800,0.41908900,0.46706500,0.47903800,0.49000000,0.44000000,0.40000000,0.42000000,0.42000000,52.01417500,17.16630600,8.44805100,9.02182800,9.79205200,9.78891700,19.56803100,19.55552300,19.54492400,0.00000000,0.00000000,0.00000000,0.96015100,1.00000000,1.00000000,29.18731900,1.00000000
10/05/1985,4,2.62440600,0.00000000,0.10416300,0.00000000,0.10416300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00208300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,193.83353000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.46934000,1.00000000,1.00000000,0.00000000,0.00000000,0.37136900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.40549200,0.41888300,0.46012500,0.48000000,0.48772300,0.44000000,0.40000000,0.42000000,0.42000000,69.16503900,16.98678200,8.33181900,9.05216700,9.75890300,9.80118900,19.59310300,19.57692500,19.56277100,0.00000000,0.00000000,0.00000000,2.09292100,1.00000000,0.87857100,37.65666000,1.00000000
11/05/1985,5,2.75465300,0.00000000,0.10395400,0.00000000,0.10395400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00207900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,197.69277200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.86111100,1.00000000,1.00000000,0.00000000,0.00000000,0.93771500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,182.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.42760400,0.42224900,0.46170200,0.48000000,0.48639700,0.44000000,0.40000000,0.42000000,0.42000000,85.66812100,17.56175400,8.37175300,9.05986400,9.74197400,9.81130500,19.61624700,19.59729400,19.58011200,0.00000000,0.00000000,0.00000000,10.56970000,1.00000000,0.36428600,43.51777100,1.00000000
12/05/1985,6,2.83675200,0.00000000,0.10374600,0.00000000,0.10374600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00207500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,202.52317000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.69444400,1.00000000,1.00000000,0.00000000,0.00000000,1.37804000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,215.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.43420300,0.44506800,0.46556100,0.48000000,0.48532300,0.44000000,0.40000000,0.42000000,0.42000000,94.10681200,22.12237400,8.53318100,9.06391300,9.72622300,9.81774700,19.63271100,19.61221900,19.59308200,0.00000000,0.00000000,0.00000000,21.76960200,1.00000000,0.00000000,47.21221500,1.00000000
13/05/1985,7,2.92934500,0.00000000,0.10353900,0.00000000,0.10353900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00207100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,199.84742000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.16666700,1.00000000,1.00000000,0.00000000,0.00000000,1.61581900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,248.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.41394400,0.44474000,0.46910800,0.48000000,0.48452500,0.44000000,0.40000000,0.42000000,0.42000000,104.03401200,22.57309200,8.68954500,9.06599600,9.71380400,9.82199400,19.64468000,19.62331200,19.60286100,0.00000000,0.00000000,0.00000000,17.71717000,1.00000000,0.00000000,51.37888200,1.00000000
14/05/1985,8,3.00000000,2.10000000,0.31333200,0.21000000,0.10333200,0.10500000,0.10500000,0.00000000,0.00000000,0.00940800,0.00206700,0.00678300,0.00262500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00399000,0.00000000,197.00231900,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,7.28053200,1.00000000,1.00000000,0.00199300,0.00199300,2.11916400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,281.00000000,0.00157500,0.00000000,0.00157500,0.50000000,0.41000000,0.42720300,0.47214500,0.48000000,0.48400100,0.44000000,0.40000000,0.42000000,0.42000000,114.37166600,21.86181300,8.82918800,9.06690600,9.70591900,9.82532800,19.65507300,19.63312500,19.61161600,0.00315000,0.00157500,0.00000000,21.77499800,0.97673400,0.72142900,58.65941400,1.00000000
15/05/1985,9,3.14558000,3.24369100,0.54186300,0.32437000,0.21749400,0.21885100,0.10551800,0.00000000,0.00000000,0.01377900,0.00223600,0.01041900,0.00335900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61200800,0.00663300,0.00000000,194.56245400,1.57094500,1.00000000,0.00000000,6.31672300,0.00000000,0.25000000,10.45695100,1.00000000,1.00000000,0.00331100,0.00331100,2.82410700,0.01236500,0.00658200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01894700,314.00000000,0.00454400,0.00275800,0.00178500,0.71790200,0.40687300,0.41995600,0.46708700,0.47971600,0.48332500,0.44000000,0.40000000,0.42000000,0.42000000,125.08664700,21.40022100,8.75855700,9.05686400,9.69443300,9.82824900,19.66535900,19.64302300,19.62054800,0.00632900,0.00454400,0.11436900,17.04691900,0.96442000,1.00000000,69.11636500,1.00000000
