ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
format = csv
precision = 8
Title = Quincy776
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
25/03/1977,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,200.96496600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.37536800,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.40817900,0.42000000,0.49158700,0.48360000,0.48840000,0.44360000,0.40378000,0.41938400,0.41903600,12.62242900,6.01571700,4.99470100,5.05335300,3.14500700,1.18911500,1.99257400,0.82720800,0.43654100,0.00000000,0.00000000
26/03/1977,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,199.14599600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.45695100,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.40536300,0.42000000,0.48227700,0.48324000,0.48876000,0.44324000,0.40356400,0.41974200,0.41907400,23.76984000,6.10991900,4.91584900,5.06451000,3.16735900,1.20636500,2.03290500,0.87192300,0.48038600,0.00000000,0.00000000
27/03/1977,3,2.49052200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,197.20561600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.62698200,1.00000000,1.00000000,0.00000000,0.00000000,0.08144400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.40334800,0.42000000,0.47222900,0.48204200,0.48908400,0.44291600,0.40335300,0.42006400,0.41912500,38.18693500,6.19639400,4.82544100,5.06390200,3.18658400,1.22132000,2.07077800,0.91405200,0.52163300,0.00000000,0.00000000
28/03/1977,4,2.76163600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,196.58239700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.20014600,1.00000000,1.00000000,0.00000000,0.00000000,0.22970400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.40710700,0.42000000,0.46559900,0.48055500,0.48928800,0.44262400,0.40314900,0.42033100,0.41920700,55.13286600,6.30138300,4.76488400,5.05629300,3.20078300,1.23302200,2.10476700,0.95234700,0.55938500,0.00000000,0.00000000
29/03/1977,5,3.00000000,1.20000000,0.17988000,0.12000000,0.05988000,0.06000000,0.06000000,0.00000000,0.00000000,0.00537600,0.00119800,0.00387600,0.00150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00228000,0.00000000,195.38978200,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,13.09999900,1.00000000,1.00000000,0.00113900,0.00113900,0.48671800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,182.00000000,0.00090000,0.00000000,0.00090000,0.50000000,0.40708700,0.41987100,0.45931300,0.48000000,0.48832800,0.44236200,0.40295200,0.42055100,0.41931500,74.32186900,6.38795200,4.70240300,5.04962800,3.20253600,1.24100900,2.13427600,0.98640000,0.59336800,0.00180000,0.00090000
30/03/1977,6,3.16245600,1.37253500,0.21426700,0.13725000,0.07701400,0.07717500,0.06007800,0.00000000,0.00000000,0.00835100,0.00119500,0.00686500,0.00148600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70153800,0.00499700,0.00000000,194.77335000,1.37376200,1.00000000,0.00000000,8.32838800,0.00000000,0.25000000,13.87198100,1.00000000,1.00000000,0.00249500,0.00249500,0.69473900,0.00276300,0.00006000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00282300,215.00000000,0.00297500,0.00042700,0.00254700,0.53869400,0.40913000,0.41976000,0.45492400,0.48000000,0.48665700,0.44212600,0.40276400,0.42073000,0.41944300,94.76959200,6.46878100,4.64068300,5.03408600,3.19496600,1.24497400,2.15839100,1.01541800,0.62290500,0.00552200,0.00297500
31/03/1977,7,3.30195600,1.62865300,0.26533700,0.16287000,0.10247200,0.10256000,0.06030600,0.00000000,0.00000000,0.01267700,0.00119300,0.01111700,0.00156000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91495400,0.00833100,0.00000000,193.96488200,1.33432100,1.00000000,0.00000000,13.88543500,0.00000000,0.25032600,13.95000000,1.00000000,1.00000000,0.00415700,0.00415700,0.93606300,0.00226800,0.00024900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00251700,248.00000000,0.00432600,0.00042700,0.00389900,0.52597700,0.40952200,0.41899600,0.45170400,0.48000000,0.48486100,0.44191300,0.40258300,0.42087300,0.41958800,115.00381500,6.51193900,4.58670000,5.00577100,3.18074500,1.24525400,2.17659700,1.03882600,0.64742100,0.00822500,0.00432600
01/04/1977,8,3.42596800,2.64306100,0.46801300,0.26431000,0.20370700,0.20247800,0.06182800,0.00000000,0.00000000,0.01881000,0.00175100,0.01709200,0.00171800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.12956900,0.01223700,0.00000000,192.05238000,1.39674800,1.00000000,0.00000000,20.39439100,0.00000000,0.25127300,12.40124300,1.00000000,1.00000000,0.00610000,0.00610000,1.22768300,0.00812900,0.00223600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01036500,281.00000000,0.00669400,0.00182000,0.00487400,0.57867400,0.40527100,0.41493200,0.44909900,0.47940600,0.48357200,0.44172200,0.40241100,0.42098400,0.41974400,134.31642200,6.48422100,4.54207800,4.97555100,3.15732700,1.23666200,2.18967300,1.05722900,0.66739600,0.01156700,0.00669400
02/04/1977,9,3.58196800,4.10104500,0.75920300,0.41010000,0.34909800,0.34496800,0.06513700,0.00000000,0.00000000,0.02621000,0.00301000,0.02426200,0.00194800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.32035700,0.01626900,0.00000000,190.49322100,1.49135000,1.00000000,0.00000000,27.11450700,0.00000000,0.25761600,15.59999900,1.00000000,1.00000000,0.00810100,0.00810100,1.64065700,0.01504700,0.00778200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02283000,314.00000000,0.00866300,0.00392000,0.00474300,0.64619900,0.40239500,0.41143900,0.44688000,0.47853400,0.48255500,0.44155000,0.40224700,0.42106800,0.41991000,153.93011500,6.45479000,4.50300500,4.94440900,3.13633200,1.22180400,2.19924700,1.07227900,0.68442300,0.01340600,0.00866300
