ApsimVersion = 7.10 r0
precision = 8
Title = Sorghum_HE7_T2
           Date            Das    day_of_year          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)         RLV(8)         RLV(9)        RLV(10)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) RootProportion(8) RootProportion(9) RootProportion(10) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)  sw_deficit(8)  sw_deficit(9) sw_deficit(10)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)   sw_uptake(8)   sw_uptake(9)  sw_uptake(10)     n_sd_ratio     no3_demand            esw    swdef_pheno    swdef_photo    swdef_expan    nfact_pheno    nfact_expan      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)      sw_dep(8)      sw_dep(9)     sw_dep(10) n_diffusion_uptake n_massflow_uptake    cover_green      cover_tot      DeltaTTFM          st(1)          st(2)          st(3)          st(4)          st(5)          st(6)          st(7)          st(8)          st(9)         st(10) GrainTempFactor
   (dd/mm/yyyy)         (days)             ()             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)              (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)           (mm)             ()             ()             ()             ()             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (g/m^2)           (g/m^2)             ()             ()          (oCd)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)              ()
     25/11/1997              0            329     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   124.94071200   144.27966300     0.00000000     1.00000000     3.57625000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    34.62702900     9.35910500    24.64786900     7.84694100     6.46015600     9.96278300    11.76743900    14.25359600     9.02317000    16.33157500     0.29255100     0.32854100     0.44221500     0.42873600     0.36348600     0.35102400     0.33602800     0.33910000     0.34513000     0.34943900     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   124.94071200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    29.25514400    32.85410300    88.44307700    85.74713100    72.69711300    70.20475000    67.20559700    67.82000000    69.02600100    69.88780200         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    24.34917800    23.89120300    23.03137800    22.24368700    21.52472500    20.87096200    20.27878000    19.74452400    19.26452800    18.83516100      1.00000000
     26/11/1997              0            330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   121.91639700   296.14373800     0.00000000     1.00000000     3.55581000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   186.69453400     9.39049400    24.58119400     7.88453400     6.50751500    10.00874000    11.78430600    14.17836300     8.95110600    16.16294500     0.27964700     0.33080900     0.44050500     0.42844900     0.36396400     0.35104900     0.33605600     0.33637000     0.33950200     0.34945800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   121.91639700     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    27.96467200    33.08091400    88.10105100    85.68989600    72.79287700    70.20982400    67.21119700    67.27400200    67.90039800    69.89157900         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    26.05452900    25.52863700    24.54085000    23.63509400    22.80729900    22.05328600    21.36883000    20.74968900    20.19165800    19.69057800      1.00000000
     27/11/1997              1            331     1.99900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   119.11182400   295.92868000     0.00000000     1.00000000     3.53694700     0.00000000     0.00000000     0.00000000     0.00034300     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    11.46653700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    15.00000000        0.00779400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    15.20770300     8.71471400     4.22689100     6.37120100    13.11274700     9.78477500     6.78320300    -0.89180000    -2.99781800    -3.62345100    15.00000000   186.76905800     9.37096600    24.49731600     7.90335200     6.54189000    10.04458400    11.80066900    14.13478100     8.89252200    15.97355500     0.26792300     0.33285300     0.43886600     0.42814400     0.36443600     0.35107600     0.33608400     0.33445900     0.33498900     0.34811700    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   119.11182400     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    26.79229700    33.28528600    87.77310900    85.62879900    72.88725300    70.21522500    67.21679700    66.89180000    66.99781800    69.62345100         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    27.87823900    27.27845600    26.15157700    25.11765500    24.17185400    23.30927700    22.52500300    21.81415200    21.17189400    20.59350200      1.00000000
     28/11/1997              2            332     2.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   177.55778500   294.93237300     0.00000000     1.00000000     3.94392300     0.00000000     0.00000000     0.00000000     0.00137000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    11.57897400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    42.00000000        0.06110700        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     2.66298700    -1.68986100    -2.80000300    -1.40000200    -2.69923400     3.53627800     6.76419100    -0.62426000    -2.28575100    -3.22213700    42.00000000    90.35225700    57.03163900    55.13271300    20.42102100    10.60420800    10.82041100    11.81928400    14.11537000     8.85024500    15.78523300     0.39337000     0.43689900     0.47400000     0.46700000     0.44349600     0.38231900     0.33617900     0.33312100     0.33142900     0.34611100    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   177.55778500     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    39.33701300    43.68986100    94.80000300    93.40000200    88.69923400    76.46372200    67.23580900    66.62426000    66.28575100    69.22213700         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    30.20546200    29.63226700    28.54280500    27.52659800    26.58043500    25.70108600    24.88532400    24.12994800    23.43178400    22.78770300      1.00000000
     29/11/1997              3            333     3.00000000    20.00000000     2.99800000     2.00000000     0.99800000     1.00000000     1.00000000     0.00000000     0.00000000     0.03550000     0.05546000     0.01996000     0.00300000     0.03250000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.00000000     0.00200000     0.00000000   172.57565300   293.91220100     1.50000000     1.00000000     3.89751400     2.00000000     0.00000000     0.00000000     0.02403600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02250000     0.00000000     0.00000000      0.00000000     0.00000000    13.66468900     0.00200000     0.00004000     0.00004000     0.00200000     0.00000000     0.00000000     0.23809500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    69.00000000        0.16492600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.02250000     0.02250000     0.02250000     0.00000000     6.02098800    -0.74798200    -2.31487300    -1.40000200    -2.49028800     2.35749800     6.74193600    -0.43698100    -1.73111700    -2.77483400    69.00000000    90.81388100    55.58634900    54.87859300    20.64463800    10.63922400    10.97589300    11.83872700    14.10636700     8.81648900    15.61202000     0.35979000     0.42748000     0.47157400     0.46700000     0.44245100     0.38821300     0.33629000     0.33218500     0.32865600     0.34387400    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.50000000     0.04500000   172.57565300     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    35.97901200    42.74798200    94.31487300    93.40000200    88.49028800    77.64250200    67.25806400    66.43698100    65.73111700    68.77483400         0.02250000        0.00000000     0.00080000     0.00080000    17.80000000    31.88267700    31.25265500    30.05508400    28.93779900    27.89717500    26.92958800    26.03143700    25.19916200    24.42925100    23.71826000      1.00000000
     30/11/1997              4            334     3.14677000    20.24921700     3.04584700     2.02492000     1.02092600     1.02448100     1.00044100     0.00000000     0.00000000     0.04871200     0.06863300     0.01992000     0.00788300     0.04082900     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.33328500     0.00673600     0.00000000   169.13633700   293.20748900     1.17029300     1.00000000     3.86699800     6.73598300     0.00000000     0.04984300     0.09050000     0.01999200     0.02492200     0.00473600     0.00000000     0.00488300     0.00832900     0.00000000     0.00000000      0.00488300     0.00000000    13.44492500     0.00399600     0.00008000     0.00008000     0.00399600     0.00000000     0.00000000     0.14492800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    96.00000000        0.31925200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00623900     0.01321200     0.01321200     0.03571200     0.00623900     8.03911600    -0.10867700    -1.77748900    -1.40000200    -2.19106300     1.32180800     6.71661400    -0.30588500    -1.30355100    -2.33345000    96.00000000    91.36081700    54.67161600    54.45851900    20.77301400    10.63490700    11.10373800    11.85891500    14.10143200     8.78805300    15.45645500     0.33954600     0.42108700     0.46888700     0.46700000     0.44095500     0.39339100     0.33641700     0.33152900     0.32651800     0.34166700     0.00623900    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.53396200     0.02474400   169.13633700     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    33.95464700    42.10867700    93.77748900    93.40000200    88.19106300    78.67819200    67.28338600    66.30588500    65.30355100    68.33345000         0.01153200        0.00168100     0.00269100     0.00269100    17.80000000    32.22092800    31.57771700    30.35507800    29.21440100    28.15198500    27.16412900    26.24715800    25.39743000    24.61136100    23.88543100      1.00000000
     01/12/1997              5            335     3.27368700    21.17223700     3.22840900     2.11722000     1.11118600     1.11392100     1.00330300     0.00000000     0.00000000     0.05833300     0.07821300     0.01988000     0.01120600     0.04712700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.66121000     0.00952800     0.00000000   166.34384200   292.66650400     1.17610800     1.00000000     3.84303900     9.52794700     0.00000000     0.18460400     0.21044500     0.07534100     0.09230200     0.00279200     0.00000000     0.00332300     0.00629700     0.00000000     0.00000000      0.00332300     0.00000000    12.69166800     0.00603800     0.00012000     0.00012000     0.00603800     0.00000000     0.00000000     0.10416700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   123.00000000        0.44951500        0.04777600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.02356500     0.00962000     0.00962000     0.04533300     0.02356500     9.59072100     0.32185000    -1.26706700    -1.36012300    -1.86470800     0.44065100     6.68851500    -0.21411900    -0.97672300    -1.92643000   123.00000000    91.93881200    54.06308400    53.98737700    20.81715200    10.59853000    11.19776200    11.87969000    14.09888600     8.76445500    15.32074200     0.32385700     0.41678200     0.46633500     0.46680100     0.43932400     0.39779700     0.33655700     0.33107100     0.32488400     0.33963200     0.02356500    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.76665300     0.01254800   166.34384200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    32.38571200    41.67815000    93.26706700    93.36012300    87.86470800    79.55934900    67.31148500    66.21411900    64.97672300    67.92643000         0.00292800        0.00669200     0.00380400     0.00380400    17.80000000    32.22757700    31.58241300    30.35603500    29.21187000    28.14622500    27.15541300    26.23576000    25.38362900    24.59542800    23.86763400      1.00000000
     02/12/1997              6            336     3.39474200    22.52464800     3.49666900     2.25246000     1.24420500     1.24276200     1.00970200     0.00000000     0.00000000     0.07154300     0.09138300     0.01984000     0.01538600     0.05615700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.97076300     0.01282200     0.00000000   163.95996100   292.22793600     1.20000000     1.00000000     3.82406100    12.82177100     0.00000000     0.27048200     0.28202100     0.11031400     0.13524100     0.00329400     0.00000000     0.00418000     0.00903000     0.00000000     0.00000000      0.00418000     0.00000000    12.10549600     0.00826000     0.00016000     0.00016000     0.00826000     0.00000000     0.00000000     0.08130100     0.08130100     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   150.00000000        0.56568500        0.16583100        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.04570800     0.01321000     0.01321000     0.05854300     0.04570800    10.90176000     0.40027200    -0.58626600    -1.21817000    -1.67074600    -0.16275800     6.57589000    -0.14988700    -0.72866800    -1.56710100   150.00000000    92.46621700    53.70162200    53.48212100    20.78953000    10.57567000    11.24673300    11.91634900    14.09846600     8.74562500    15.20557700     0.31054900     0.41597400     0.46293100     0.46609100     0.43835400     0.40081400     0.33712100     0.33074900     0.32364300     0.33783500     0.04334000     0.00236900    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00481500   163.95996100     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    31.05489900    41.59735900    92.58626600    93.21817000    87.67074600    80.16275800    67.42411000    66.14988700    64.72866800    67.56710100         0.00000000        0.01321000     0.00511600     0.00511600    17.80000000    32.70089700    32.03905100    30.78085300    29.60684600    28.51325000    27.49628100    26.55217600    25.67720600    24.86769900    24.12004100      1.00000000
     03/12/1997              7            337     3.50264300    24.41102900     3.87145700     2.44110000     1.43035400     1.41907400     1.02202900     0.00000000     0.00000000     0.08882400     0.10862500     0.01980100     0.02001700     0.06880700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.26601900     0.01668100     0.00000000   161.87155200   291.86737100     1.20000000     1.00000000     3.80729300    16.68066000     0.00000000     0.37727600     0.40076700     0.15346700     0.18863800     0.00385900     0.00000000     0.00463100     0.01265100     0.00000000     0.00000000      0.00463100     0.00000000    10.79009400     0.01074900     0.00019900     0.00019900     0.01074900     0.00000000     0.00000000     0.06666700     0.06666700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   177.00000000        0.67916400        0.33945400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.06621900     0.01728100     0.01728100     0.07582400     0.06621900    12.04984500     0.49681100    -0.12686200    -0.97583800    -1.46227300    -0.52162900     6.30807500    -0.10491900    -0.54154200    -1.25943000   177.00000000    92.96523300    53.32420700    53.16868200    20.68756900    10.54521600    11.25338500    11.98353800    14.09928700     8.73063400    15.10966200     0.29902100     0.41485100     0.46063400     0.46487900     0.43731100     0.40260800     0.33846000     0.33052500     0.32270800     0.33629700     0.04809000     0.01812800    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00463100   161.87155200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    29.90206500    41.48506200    92.12686200    92.97583800    87.46227300    80.52162900    67.69192500    66.10491900    64.54154200    67.25943000         0.00000000        0.01728100     0.00665000     0.00665000    17.80000000    32.74872200    32.08427000    30.82102400    29.64220400    28.54404600    27.52277900    26.57464600    25.69592900    24.88294800    24.13209000      1.00000000
     04/12/1997              8            338     3.62664300    26.45454900     4.27730000     2.64545000     1.63184600     1.60613700     1.03931800     0.00000000     0.00000000     0.09563300     0.11539500     0.01976100     0.02494600     0.07068700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.52919200     0.02078800     0.00000000   160.06257600   291.68856800     1.20000000     1.00000000     3.79272300    20.78847200     0.00000000     0.40870400     0.64445600     0.16625100     0.20435200     0.00410800     0.00000000     0.00492900     0.00188000     0.00000000     0.00000000      0.00492900     0.00000000    12.40000100     0.01360900     0.00023900     0.00023900     0.01360900     0.00000000     0.00000000     0.05649700     0.05649700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   204.00000000        0.79111100        0.55304200        0.00228000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.03105500     0.00680900     0.00680900     0.08263300     0.03105500    13.07495900     0.61211400     0.18548600    -0.70972400    -1.23651100    -0.70482600     5.96134200    -0.07344100    -0.40110800    -1.00193800   204.00000000    93.54727200    52.96292100    52.96316900    20.55657000    10.50723000    11.23351800    12.06722000    14.10084200     8.71878000    15.03106400     0.28910600     0.41371300     0.45907300     0.46354900     0.43618300     0.40352400     0.34019300     0.33036700     0.32200600     0.33501000     0.01449000     0.01656500    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00492900   160.06257600     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    28.91055100    41.37132300    91.81451400    92.70972400    87.23651100    80.70482600    68.03865800    66.07344100    64.40110800    67.00193800         0.00000000        0.00680900     0.00828100     0.00828100    17.70000100    32.22567000    31.57759900    30.34540200    29.19549600    28.12429200    27.12817600    26.20353500    25.34677500    24.55434200    23.82272900      1.00000000
