SimulationName SimulationName2 Clock.Today Phenology.StageCode.Value Phenology.Stage FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.LiveWt FodderBeet.Petiole.LiveWt FodderBeet.Leaf.LiveWt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FoddeBeet.LeafLAI FodderBeet.Leaf.PlantAppearedGreenLeafNo FodderBeet.Leaf.PlantAppearedLeafNo FodderBeet.Leaf.PlantSenescedLeafNo FodderBeet.Leaf.CoverGreen
() () () () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2) () () () (0-1)
Lincoln2014CvRiv_Sep FRNLRivageSD1 19/11/2014 * * 731.8 14.5 1.9 1.9 10.7 14.5 0.0 0.2 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 8/12/2014 * * 991.0 93.9 16.4 18.0 59.5 93.9 0.0 0.9 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 12/01/2015 * * 1581.1 816.6 470.9 134.5 211.2 842.2 25.6 3.3 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2/02/2015 * * 1975.4 1446.8 1072.5 172.3 202.1 1506.1 59.3 3.3 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 23/02/2015 * * 2311.8 2075.7 1691.0 172.7 212.1 2174.1 98.4 3.0 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 16/03/2015 * * 2678.2 2023.2 1752.4 135.0 135.9 2178.1 154.9 2.3 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 7/04/2015 * * 3008.7 2383.2 2220.5 71.1 91.6 2594.2 211.0 2.1 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 29/04/2015 * * 3283.2 2178.7 2028.9 64.6 85.2 2348.9 170.2 1.3 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 18/05/2015 * * 3508.9 2178.9 1999.4 72.2 107.3 2374.1 195.3 1.6 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 15/06/2015 * * 3726.7 2490.4 2319.8 65.1 105.5 2706.5 216.1 1.4 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 19/11/2014 * * 731.8 9.5 0.9 1.5 7.1 9.5 0.0 0.1 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 8/12/2014 * * 991.0 118.7 23.5 22.0 73.3 118.7 0.0 1.1 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 12/01/2015 * * 1581.1 845.1 520.1 151.6 173.4 895.0 49.9 2.7 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2/02/2015 * * 1975.4 1353.4 973.2 174.4 205.8 1423.9 70.5 3.3 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 23/02/2015 * * 2311.8 1709.4 1400.3 127.0 182.1 1859.2 149.8 3.0 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 16/03/2015 * * 2678.2 1712.6 1514.7 92.1 105.8 1890.9 178.3 1.9 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 7/04/2015 * * 3008.7 1882.1 1672.8 101.7 107.5 2125.6 243.5 1.8 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 29/04/2015 * * 3283.2 1924.7 1672.5 116.8 135.4 2124.5 199.8 2.0 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 18/05/2015 * * 3508.9 1849.6 1639.8 91.2 118.5 2057.2 207.6 1.8 * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 15/06/2015 * * 3726.7 1897.3 1687.4 92.4 117.5 2168.8 271.5 1.8 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 8/12/2014 * * 677.7 7.3 0.7 1.2 5.4 7.3 0 0.1 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 12/01/2015 * * 1267.8 473.3 225.5 91.9 155.9 487.2 14 2.3 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2/02/2015 * * 1662.0 1100.3 717.2 168.7 214.4 1139.2 38.9 3.3 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 23/02/2015 * * 1998.4 1746 1354.4 171.3 220.3 1834 88.1 3.6 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 16/03/2015 * * 2364.9 2029.4 1737.4 126.3 165.6 2178.3 149 2.8 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 7/04/2015 * * 2695.4 2147.9 1934.7 96.8 116.4 2376 228.1 3.1 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 29/04/2015 * * 2969.8 2102.9 1848.9 116.2 137.8 2300.6 197.7 2 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 18/05/2015 * * 3195.5 2071.3 1921.6 58.4 91.4 2262.8 191.5 1.3 * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 15/06/2015 * * 3413.3 2439.1 2269.9 68.9 100.3 2694.4 255.3 1.4 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 8/12/2014 * * 677.7 6.6 0.5 1.2 4.9 6.6 0.0 0.1 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 12/01/2015 * * 1267.8 475.2 226.5 101.1 147.6 491.7 16.5 2.6 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2/02/2015 * * 1662.0 873.1 526.1 141.0 206.0 900.4 27.4 3.1 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 23/02/2015 * * 1998.4 1421.4 1060.6 170.7 190.0 1477.6 56.3 3.4 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 16/03/2015 * * 2364.9 1474.4 1132.1 158.8 183.4 1651.0 176.6 3.2 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 7/04/2015 * * 2695.4 1605.2 1410.3 99.3 95.6 1794.2 188.9 1.9 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 29/04/2015 * * 2969.8 2063.3 1808.3 122.5 132.5 2272.1 208.8 2.1 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 18/05/2015 * * 3195.5 1998.5 1776.5 104.3 117.7 2199.5 201.0 1.8 * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 15/06/2015 * * 3413.3 1948.7 1779.3 79.3 90.0 2205.2 256.5 1.5 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 12/01/2015 * * 889.0 169.1 41.8 32.8 94.5 171.9 2.8 1.5 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 2/02/2015 * * 1283.2 677.3 347.7 138.5 191.1 694.0 16.7 3.1 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 23/02/2015 * * 1619.6 1458.6 942.8 252.2 263.6 1500.6 42.0 3.4 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 16/03/2015 * * 1986.1 1693.3 1314.0 178.5 200.8 1838.0 144.7 3.6 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 7/04/2015 * * 2316.6 1621.4 1413.1 93.4 114.9 1817.4 195.9 2.9 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 29/04/2015 * * 2591.0 1922.1 1655.7 117.0 149.4 2107.9 185.8 2.4 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 18/05/2015 * * 2816.7 1851.8 1666.3 80.7 104.9 2033.2 181.4 1.5 * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 15/06/2015 * * 3034.5 1836.7 1677.1 66.5 93.0 2080.4 243.7 1.3 * * * *
Lincoln2014CvBri_Nov FRNLBrigadierSD3 12/01/2015 * * 889.0 149.9 33.9 30.0 86.0 152.3 2.4 1.4 * * * *
Lincoln2014CvBri_Nov FRNLBrigadierSD3 2/02/2015 * * 1283.2 588.9 306.4 105.8 176.8 600.7 11.8 2.6 * * * *
Lincoln2014CvBri_Nov FRNLBrigadierSD3 23/02/2015 * * 1619.6 1206.5 754.4 211.3 240.8 1245.2 38.7 3.6 * * * *
Lincoln2014CvBri_Nov FRNLBrigadierSD3 16/03/2015 * * 1986.1 1415.5 1091.2 153.3 171.0 1523.0 107.5 2.8 * * * *
