date,Eo
1/01/1900,6
2/01/1900,3
3/01/1900,6
4/01/1900,2
5/01/1900,1
6/01/1900,7
7/01/1900,0.1
8/01/1900,0.1
9/01/1900,0.1
10/01/1900,0.2
11/01/1900,6
12/01/1900,4
13/01/1900,3
14/01/1900,2
15/01/1900,6
16/01/1900,6
17/01/1900,3
18/01/1900,6
19/01/1900,2
20/01/1900,1
21/01/1900,7
22/01/1900,0.1
23/01/1900,0.1
24/01/1900,0.1
25/01/1900,0.2
26/01/1900,6
27/01/1900,4
28/01/1900,3
29/01/1900,2
30/01/1900,6
31/01/1900,6
1/02/1900,3
2/02/1900,6
3/02/1900,2
4/02/1900,1
5/02/1900,7
6/02/1900,0.1
7/02/1900,0.1
8/02/1900,0.1
9/02/1900,0.2
10/02/1900,6
11/02/1900,4
12/02/1900,3
13/02/1900,2
14/02/1900,6
15/02/1900,6
16/02/1900,3
17/02/1900,6
18/02/1900,2
19/02/1900,1
20/02/1900,7
21/02/1900,0.1
22/02/1900,0.1
23/02/1900,0.1
24/02/1900,0.2
25/02/1900,6
26/02/1900,4
27/02/1900,3
28/02/1900,2
29/02/1900,6
1/03/1900,6
2/03/1900,3
3/03/1900,6
4/03/1900,2
5/03/1900,1
6/03/1900,7
7/03/1900,0.1
8/03/1900,0.1
9/03/1900,0.1
10/03/1900,0.2
11/03/1900,6
12/03/1900,4
13/03/1900,3
14/03/1900,2
15/03/1900,6
16/03/1900,6
17/03/1900,3
18/03/1900,6
19/03/1900,2
20/03/1900,1
21/03/1900,7
22/03/1900,0.1
23/03/1900,0.1
24/03/1900,0.1
25/03/1900,0.2
26/03/1900,6
27/03/1900,4
28/03/1900,3
29/03/1900,2
30/03/1900,6
31/03/1900,6
1/04/1900,3
2/04/1900,6
3/04/1900,2
4/04/1900,1
5/04/1900,7
6/04/1900,0.1
7/04/1900,0.1
8/04/1900,0.1
9/04/1900,0.2
10/04/1900,6
11/04/1900,4
12/04/1900,3
13/04/1900,2
14/04/1900,6
15/04/1900,6
16/04/1900,3
17/04/1900,6
18/04/1900,2
19/04/1900,1
20/04/1900,7
21/04/1900,0.1
22/04/1900,0.1
23/04/1900,0.1
24/04/1900,0.2
25/04/1900,6
26/04/1900,4
27/04/1900,3
28/04/1900,2
29/04/1900,6
30/04/1900,6
1/05/1900,3
2/05/1900,6
3/05/1900,2
4/05/1900,1
5/05/1900,7
6/05/1900,0.1
7/05/1900,0.1
8/05/1900,0.1
9/05/1900,0.2
10/05/1900,6
11/05/1900,4
12/05/1900,3
13/05/1900,2
14/05/1900,6
15/05/1900,6
16/05/1900,3
17/05/1900,6
18/05/1900,2
19/05/1900,1
20/05/1900,7
21/05/1900,0.1
22/05/1900,0.1
23/05/1900,0.1
24/05/1900,0.2
25/05/1900,6
26/05/1900,4
27/05/1900,3
28/05/1900,2
29/05/1900,6
30/05/1900,6
31/05/1900,3
1/06/1900,6
2/06/1900,2
3/06/1900,1
4/06/1900,7
5/06/1900,0.1
6/06/1900,0.1
7/06/1900,0.1
8/06/1900,0.2
9/06/1900,6
10/06/1900,4
11/06/1900,3
12/06/1900,2
13/06/1900,6
14/06/1900,6
15/06/1900,3
16/06/1900,6
17/06/1900,2
18/06/1900,1
19/06/1900,7
20/06/1900,0.1
21/06/1900,0.1
22/06/1900,0.1
23/06/1900,0.2
24/06/1900,6
25/06/1900,4
26/06/1900,3
27/06/1900,2
28/06/1900,6
29/06/1900,0.5
30/06/1900,0.2
1/07/1900,0.2
2/07/1900,0.2
