ApsimVersion = 7.10 r0
precision = 8
Title = Sorghum_LE13_Buster-I-N
           Date            Das    day_of_year          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)     n_sd_ratio     no3_demand            esw    swdef_pheno    swdef_photo    swdef_expan    nfact_pheno    nfact_expan      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7) n_diffusion_uptake n_massflow_uptake    cover_green      cover_tot      DeltaTTFM          st(1)          st(2)          st(3)          st(4)          st(5)          st(6)          st(7)
   (dd/mm/yyyy)         (days)             ()             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)           (mm)             ()             ()             ()             ()             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (g/m^2)           (g/m^2)             ()             ()          (oCd)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)
     28/11/1995              0            332     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   193.56051600    72.41700000     0.00000000     1.00000000     2.94230300     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    24.06839900     6.07364100     6.93422600     5.01772100    12.37171100    12.23825300     5.71305000     0.38626200     0.44154100     0.47350000     0.45400000     0.40373300     0.40326700     0.38000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   193.56051600     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    77.25231900    88.30822800    94.69999700   136.19999700   121.11988800   120.98010300   114.00000000         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    29.37224400    28.39587200    27.49932900    26.29627400    25.25195700    24.35318800    23.58666800
     29/11/1995              1            333     1.99900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   199.92779500    72.92640700     0.00000000     1.00000000     2.96915000     0.00000000     0.00000000     0.00000000     0.00114400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    11.48619800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    20.00000000        0.00692800        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     1.36750800    -1.91836500    -3.08359500    -3.64178500    -2.38084400    -0.18047300    -0.09024000    20.00000000    23.21144100     6.90856300     6.96819200     5.16522400    12.33594000    12.53444100     5.80260800     0.40316200     0.43959200     0.47541800     0.45213900     0.40793600     0.41060200     0.38030100    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   199.92779500     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    80.63249200    87.91836500    95.08359500   135.64178500   122.38084400   123.18047300   114.09024000         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    30.85080500    29.78368000    28.80111900    27.47733700    26.32156200    25.31993500    24.45859100
     30/11/1995              2            334     2.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   196.90365600    73.35527800     0.00000000     1.00000000     2.95189700     0.00000000     0.00000000     0.00000000     0.00107000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    12.20007800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    47.00000000        0.03826100        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     2.70254500    -0.01188700    -2.02139300    -2.83158900    -2.60621600    -1.39334100    -0.74179100    47.00000000    23.57688900     6.77592100     6.88601000     5.23157700    12.22357000    12.69963300     5.96167500     0.39648700     0.43005900     0.47010700     0.44943900     0.40868700     0.41464400     0.38247300    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   196.90365600     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    79.29745500    86.01188700    94.02139300   134.83158900   122.60621600   124.39334100   114.74179100         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    31.97304000    30.82451600    29.76616300    28.33847200    27.08955000    26.00454500    25.06865300
     01/12/1995              3            335     2.94523200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   199.37168900    73.68656900     0.00000000     1.00000000     2.96326400     0.00000000     0.00000000     0.00000000     0.01478400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    13.33339800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.42553200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    74.00000000        0.09484700        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     1.44654800    -0.73595400    -1.92585000    -2.37872300    -2.49247000    -1.94290200    -1.34234600    74.00000000    23.03904000     7.49541300     6.87917300     5.28374700    12.08774800    12.77403700     6.12741000     0.40276700     0.43368000     0.46962900     0.44792900     0.40830800     0.41647600     0.38447400    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   199.37168900     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    80.55345200    86.73595400    93.92585000   134.37872300   122.49247000   124.94290200   115.34234600         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    32.89117800    31.68619200    30.57426300    29.07132300    27.75291600    26.60381700    25.60889100
     02/12/1995              4            336     3.00000000    32.00000000     4.79680000     3.20000000     1.59680000     1.60000000     1.60000000     0.00000000     0.00000000     0.05680000     0.08873600     0.03193600     0.00480000     0.05200000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.00000000     0.00320000     0.00000000   194.36737100    73.57334100     1.50000000     1.00000000     2.93914600     2.00000000     0.00000000     0.00000000     0.05083500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.03600000     0.00000000     0.00000000      0.00000000     0.00000000    12.81248200     0.00320000     0.00006400     0.00006400     0.00320000     0.00000000     0.00000000     0.27027000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   101.00000000        0.17668600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.03600000     0.03600000     0.03600000     0.00000000     3.89296000     0.50111400    -1.14691200    -1.76281700    -2.12764000    -2.03527800    -1.68881200   101.00000000    23.11764000     7.40338100     6.76943100     5.27657600    11.95157700    12.78632700     6.26841000     0.39053500     0.42749400     0.46573500     0.44587600     0.40709200     0.41678400     0.38562900    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.50000000     0.07200000   194.36737100     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    78.10704000    85.49888600    93.14691200   133.76281700   122.12764000   125.03527800   115.68881200         0.03600000        0.00000000     0.00127900     0.00127900    17.80000000    33.19171100    31.95929100    30.82208400    29.28505500    27.93683200    26.76182000    25.74450500
     03/12/1995              5            337     3.23092000    32.44649000     4.88290400     3.24465000     1.63825500     1.64438300     1.60026600     0.00000000     0.00000000     0.07906000     0.11093200     0.03187200     0.01685900     0.06220100     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.31250000     0.01344500     0.00000000   198.77760300    73.57590500     1.25391400     1.00000000     2.96160000     8.40294800     0.00000000     0.08929800     0.14940100     0.03581700     0.04464900     0.01024500     0.00000000     0.01205900     0.01020100     0.00000000     0.00000000      0.01205900     0.00000000    11.75825600     0.00639400     0.00012800     0.00012800     0.00639400     0.00000000     0.00000000     0.19802000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   128.00000000        0.28377900        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.01236800     0.02226000     0.02226000     0.05826000     0.01236800     1.06999200    -0.90081800    -1.58656300    -1.67468300    -1.90116100    -1.96821600    -1.82852200   128.00000000    22.23651300     8.26714100     6.79685000     5.29356000    11.82714800    12.77200900     6.38267900     0.40458800     0.43450400     0.46793300     0.44558200     0.40633700     0.41656100     0.38609500     0.01236800    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.50388500     0.04417600   198.77760300     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    80.91764100    86.90081800    93.58656300   133.67468300   121.90116100   124.96821600   115.82852200         0.02191600        0.00034300     0.00536300     0.00536300    17.80000000    32.43882800    31.27373500    30.19753500    28.74128700    27.46240200    26.34675200    25.38016500
     04/12/1995              6            338     3.34484500    34.43354600     5.27703900     3.44335000     1.83368400     1.84105500     1.60229900     0.00000000     0.00000000     0.09670600     0.12851400     0.03180800     0.02955000     0.06715600     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.59928600     0.02342200     0.00000000   194.07012900    73.64653800     1.26161100     1.00000000     2.93938600    14.63889700     0.00000000     0.39741100     0.27525000     0.16090400     0.19870600     0.00997800     0.00000000     0.01269100     0.00495500     0.00000000     0.00000000      0.01269100     0.00000000    11.39244800     0.00967000     0.00019200     0.00019200     0.00967000     0.00000000     0.00000000     0.15625000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   155.00000000        0.41612500        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.06485400     0.01764600     0.01764600     0.07590600     0.06485400     3.05578600     0.40649400    -1.01848600    -1.34658800    -1.62387100    -1.79605100    -1.81228600   155.00000000    22.55241400     8.16159500     6.72604500     5.28620200    11.70629300    12.74199200     6.47200300     0.39439700     0.42796800     0.46509200     0.44448900     0.40541300     0.41598700     0.38604100     0.06485400    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.52793100     0.03342600   194.07012900     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    78.87935600    85.59350600    93.01848600   133.34658800   121.62387100   124.79605100   115.81228600         0.01577900        0.00186700     0.00932500     0.00932500    17.80000000    31.92826700    30.79515800    29.74873000    28.33345200    27.09166100    26.00974500    25.07393500
     05/12/1995              7            339     3.47849100    37.54456900     5.89557600     3.75446000     2.14111900     2.14745600     1.60700100     0.00000000     0.00000000     0.11251900     0.14426400     0.03174500     0.04392800     0.06859100     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.87715100     0.03516300     0.00000000   206.95286600    73.68621100     1.24924800     1.00000000     2.99915100    21.97698100     0.00000000     0.62220500     0.56749600     0.25177900     0.31110200     0.01174100     0.00000000     0.01437800     0.00143500     0.00000000     0.00000000      0.01437800     0.00000000    13.36464800     0.01333700     0.00025500     0.00025500     0.01333700     0.00000000     0.00000000     0.12903200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   182.00000000        0.57372500        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.08952700     0.01581300     0.01581300     0.09171900     0.08952700     0.00384500    -2.95156900    -4.72680700    -3.03669700    -2.33028400    -2.06317100    -1.93772900   182.00000000    19.95915000    10.05869900     7.27172900     5.49218000    11.58511900    12.74436200     6.57497700     0.40953300     0.44475800     0.48363400     0.45012200     0.40776800     0.41687700     0.38645900     0.08952700    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.53731800     0.02943000   206.95286600     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    81.90662400    88.95156900    96.72680700   135.03669700   122.33028400   125.06317100   115.93772900         0.01361700        0.00219700     0.01396700     0.01396700    17.80000000    31.96694800    30.85881400    29.83290900    28.44086300    27.21432900    26.14088800    25.20792200
     06/12/1995              8            340     3.61849100    41.51025900     6.68443200     4.15103000     2.53340600     2.53581400     1.61521200     0.00000000     0.00000000     0.13096000     0.16264100     0.03168100     0.06231500     0.06864500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.20311800     0.05232600     0.00000000   204.73988300    73.70920600     1.19090300     1.00000000     2.98538400    32.70358400     0.00000000     0.79313800     0.85431600     0.32123700     0.39656900     0.01716300     0.00000000     0.01838700     0.00005400     0.00000000     0.00000000      0.01838700     0.00000000    14.00000000     0.01762000     0.00031900     0.00031900     0.01762000     0.00000000     0.00000000     0.10989000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   209.00000000        0.73409500        0.00776500        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.06293600     0.01844100     0.01844100     0.11016000     0.06293600     1.54573100    -1.53247800    -3.82653800    -3.43162500    -2.88095100    -2.47206100    -2.20489500   209.00000000    19.71352800    10.22162900     7.27832900     5.61623500    11.43520200    12.74632700     6.69795200     0.40195700     0.43766200     0.47913300     0.45143900     0.40960300     0.41824000     0.38735000     0.06293600    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.52203100     0.03532600   204.73988300     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    80.39133500    87.53247800    95.82653800   135.43162500   122.88095100   125.47206100   116.20489500         0.01688500        0.00155700     0.02071300     0.02071300    17.80000000    31.23023600    30.17517700    29.19819800    27.87252800    26.70488200    25.68376700    24.79736300
     07/12/1995              9            341     3.73607400    49.39524000     8.25636200     4.93952000     3.31683800     3.30199900     1.63752500     0.00000000     0.00000000     0.15868100     0.19029900     0.03161800     0.09003600     0.06864500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.54458100     0.07475400     0.00000000   199.42555200    73.66140700     1.20442600     1.00000000     2.95904900    46.72145300     0.00000000     1.57699600     1.09679400     0.64209600     0.78849800     0.02242900     0.00000000     0.02772100     0.00000000     0.00000000     0.00000000      0.02772100     0.00000000    11.75825600     0.02268700     0.00038200     0.00038200     0.02268700     0.00000000     0.00000000     0.09569400     0.09569400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   236.00000000        0.85506500        0.06508700        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.21842600     0.02772100     0.02772100     0.13788100     0.21842600     3.33635700     0.16339100    -2.29638700    -2.86401400    -2.87248200    -2.67227200    -2.43858300   236.00000000    19.99626500    10.04632700     7.16001000     5.64807900    11.26845600    12.72039800     6.82186800     0.39222700     0.42918200     0.47148200     0.44954700     0.40957500     0.41890800     0.38812900     0.21828200     0.00014400    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.55646500     0.04981700   199.42555200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    78.44535800    85.83646400    94.29638700   134.86401400   122.87248200   125.67227200   116.43858300         0.02209500        0.00562600     0.02945900     0.02945900    17.80000000    31.53331000    30.45298200    29.45253200    28.09487200    26.89889300    25.85283500    24.94459500
