ApsimVersion = 7.10 r0
precision = 8
Title = Sorghum_HE7_T3
           Date            Das    day_of_year          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)         RLV(8)         RLV(9)        RLV(10)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) RootProportion(8) RootProportion(9) RootProportion(10) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)  sw_deficit(8)  sw_deficit(9) sw_deficit(10)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)   sw_uptake(8)   sw_uptake(9)  sw_uptake(10)     n_sd_ratio     no3_demand            esw    swdef_pheno    swdef_photo    swdef_expan    nfact_pheno    nfact_expan      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)      sw_dep(8)      sw_dep(9)     sw_dep(10) n_diffusion_uptake n_massflow_uptake    cover_green      cover_tot      DeltaTTFM          st(1)          st(2)          st(3)          st(4)          st(5)          st(6)          st(7)          st(8)          st(9)         st(10)
   (dd/mm/yyyy)         (days)             ()             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)              (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)           (mm)             ()             ()             ()             ()             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (g/m^2)           (g/m^2)             ()             ()          (oCd)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)
     25/11/1997              0            329     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   124.94071200   144.27966300     0.00000000     1.00000000     3.57625000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    34.62702900     9.35910500    24.64786900     7.84694100     6.46015600     9.96278300    11.76743900    14.25359600     9.02317000    16.33157500     0.29255100     0.32854100     0.44221500     0.42873600     0.36348600     0.35102400     0.33602800     0.33910000     0.34513000     0.34943900     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   124.94071200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    29.25514400    32.85410300    88.44307700    85.74713100    72.69711300    70.20475000    67.20559700    67.82000000    69.02600100    69.88780200         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    24.34917800    23.89120300    23.03137800    22.24368700    21.52472500    20.87096200    20.27878000    19.74452400    19.26452800    18.83516100
     26/11/1997              0            330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   121.91639700   296.14373800     0.00000000     1.00000000     3.55581000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   186.69453400     9.39049400    24.58119400     7.88453400     6.50751500    10.00874000    11.78430600    14.17836300     8.95110600    16.16294500     0.27964700     0.33080900     0.44050500     0.42844900     0.36396400     0.35104900     0.33605600     0.33637000     0.33950200     0.34945800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   121.91639700     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    27.96467200    33.08091400    88.10105100    85.68989600    72.79287700    70.20982400    67.21119700    67.27400200    67.90039800    69.89157900         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    26.05452900    25.52863700    24.54085000    23.63509400    22.80729900    22.05328600    21.36883000    20.74968900    20.19165800    19.69057800
     27/11/1997              1            331     1.99900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   119.11182400   295.92868000     0.00000000     1.00000000     3.53694700     0.00000000     0.00000000     0.00000000     0.00034300     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    11.46653700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    15.00000000        0.00779400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    15.20770300     8.71471400     4.22689100     6.37120100    13.11274700     9.78477500     6.78320300    -0.89180000    -2.99781800    -3.62345100    15.00000000   186.76905800     9.37096600    24.49731600     7.90335200     6.54189000    10.04458400    11.80066900    14.13478100     8.89252200    15.97355600     0.26792300     0.33285300     0.43886600     0.42814400     0.36443600     0.35107600     0.33608400     0.33445900     0.33498900     0.34811700    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   119.11182400     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    26.79229700    33.28528600    87.77310900    85.62879900    72.88725300    70.21522500    67.21679700    66.89180000    66.99781800    69.62345100         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    27.87823900    27.27845600    26.15157700    25.11765500    24.17185400    23.30927700    22.52500300    21.81415200    21.17189400    20.59350200
     28/11/1997              2            332     2.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   177.55778500   294.93240400     0.00000000     1.00000000     3.94392300     0.00000000     0.00000000     0.00000000     0.00137000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    11.57897400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    42.00000000        0.06110700        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     2.66298700    -1.68986500    -2.80000300    -1.40000200    -2.69923400     3.53627000     6.76419100    -0.62426000    -2.28575100    -3.22213700    42.00000000    90.35225700    57.03164700    55.13271300    20.42101900    10.60420800    10.82041100    11.81928400    14.11537000     8.85024500    15.78523300     0.39337000     0.43689900     0.47400000     0.46700000     0.44349600     0.38231900     0.33617900     0.33312100     0.33142900     0.34611100    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000   177.55778500     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    39.33701300    43.68986500    94.80000300    93.40000200    88.69923400    76.46373000    67.23580900    66.62426000    66.28575100    69.22213700         0.00000000        0.00000000     0.00000000     0.00000000    17.80000000    30.20546200    29.63226700    28.54280500    27.52659800    26.58043500    25.70108600    24.88532400    24.12994800    23.43178400    22.78770300
     29/11/1997              3            333     3.00000000    20.00000000     2.99800000     2.00000000     0.99800000     1.00000000     1.00000000     0.00000000     0.00000000     0.03550000     0.05546000     0.01996000     0.00300000     0.03250000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.00000000     0.00200000     0.00000000   172.57565300   293.91220100     1.50000000     1.00000000     3.89751400     2.00000000     0.00000000     0.00000000     0.02403600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02250000     0.00000000     0.00000000      0.00000000     0.00000000    13.66468900     0.00200000     0.00004000     0.00004000     0.00200000     0.00000000     0.00000000     0.23809500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    69.00000000        0.16492600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00000000     0.02250000     0.02250000     0.02250000     0.00000000     6.02098800    -0.74798600    -2.31487300    -1.40000200    -2.49028800     2.35749100     6.74193600    -0.43698100    -1.73111700    -2.77483400    69.00000000    90.81388100    55.58635700    54.87859700    20.64463600    10.63922400    10.97589300    11.83872700    14.10636700     8.81648900    15.61202000     0.35979000     0.42748000     0.47157400     0.46700000     0.44245100     0.38821300     0.33629000     0.33218500     0.32865600     0.34387400    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.50000000     0.04500000   172.57565300     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    35.97901200    42.74798600    94.31487300    93.40000200    88.49028800    77.64250900    67.25806400    66.43698100    65.73111700    68.77483400         0.02250000        0.00000000     0.00080000     0.00080000    17.80000000    31.88267700    31.25265500    30.05508400    28.93779900    27.89717500    26.92958800    26.03143700    25.19916200    24.42925100    23.71826000
     30/11/1997              4            334     3.14677000    20.31899800     3.05980400     2.03190000     1.02790400     1.03133600     1.00056400     0.00000000     0.00000000     0.04925000     0.06917000     0.01992000     0.00842300     0.04082700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.33328500     0.00723400     0.00000000   169.13462800   293.20211800     1.16438400     1.00000000     3.86698100     7.23410200     0.00000000     0.06380000     0.09050000     0.01999200     0.03190000     0.00523400     0.00000000     0.00542300     0.00832700     0.00000000     0.00000000      0.00542300     0.00000000    13.44492500     0.00399600     0.00008000     0.00008000     0.00399600     0.00000000     0.00000000     0.14492800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    96.00000000        0.31925200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.00798500     0.01375000     0.01375000     0.03625000     0.00798500     8.03911600    -0.10868100    -1.77748900    -1.40000200    -2.19106300     1.32180000     6.71661400    -0.30588500    -1.30355100    -2.33345000    96.00000000    91.35544600    54.67162300    54.45852700    20.77301200    10.63490700    11.10373800    11.85891500    14.10143200     8.78805400    15.45645600     0.33952900     0.42108700     0.46888700     0.46700000     0.44095500     0.39339100     0.33641700     0.33152900     0.32651800     0.34166700     0.00798500    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.54243600     0.02534800   169.13462800     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    33.95290000    42.10868100    93.77748900    93.40000200    88.19106300    78.67820000    67.28338600    66.30588500    65.30355100    68.33345000         0.01159800        0.00215100     0.00288900     0.00288900    17.80000000    32.22092800    31.57771700    30.35507800    29.21440100    28.15198500    27.16412900    26.24715800    25.39743000    24.61136200    23.88543100
     01/12/1997              5            335     3.27368700    21.58677700     3.31130400     2.15868000     1.15262600     1.15418300     1.00449500     0.00000000     0.00000000     0.06175500     0.08163500     0.01988000     0.01475500     0.04700000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.66121000     0.01265200     0.00000000   166.33331300   292.63226300     1.16622600     1.00000000     3.84293300    12.65198700     0.00000000     0.25355600     0.21040800     0.08090500     0.12677800     0.00541800     0.00000000     0.00633200     0.00617300     0.00000000     0.00000000      0.00633200     0.00000000    12.69166800     0.00605200     0.00012000     0.00012000     0.00605200     0.00000000     0.00000000     0.10416700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   123.00000000        0.44951500        0.04777600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.03236700     0.01250500     0.01250500     0.04875500     0.03236700     9.59245700     0.32186100    -1.26706700    -1.36012300    -1.86470800     0.44064300     6.68851500    -0.21411900    -0.97672300    -1.92643000   123.00000000    91.90460200    54.06306800    53.98738500    20.81715200    10.59853000    11.19776200    11.87969000    14.09888600     8.76445600    15.32074300     0.32375200     0.41678100     0.46633500     0.46680100     0.43932400     0.39779700     0.33655700     0.33107100     0.32488400     0.33963200     0.03236700    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.79052500     0.01581900   166.33331300     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    32.37517500    41.67813900    93.26706700    93.36012300    87.86470800    79.55935700    67.31148500    66.21411900    64.97672300    67.92643000         0.00331400        0.00919200     0.00504800     0.00504800    17.80000000    32.22757300    31.58240700    30.35602800    29.21185700    28.14621000    27.15539600    26.23574100    25.38360800    24.59540600    23.86760900
     02/12/1997              6            336     3.39474200    23.88127400     3.76789800     2.38813000     1.37977000     1.37277400     1.01535300     0.00000000     0.00000000     0.08416600     0.10400600     0.01984000     0.02280800     0.06135800     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.97076300     0.01900700     0.00000000   163.91757200   292.10159300     1.20000000     1.00000000     3.82363700    19.00707300     0.00000000     0.45889900     0.28169100     0.14639200     0.22945000     0.00635500     0.00000000     0.00805300     0.01435800     0.00000000     0.00000000      0.00805300     0.00000000    12.10549600     0.00835700     0.00016000     0.00016000     0.00835700     0.00000000     0.00000000     0.08130100     0.08130100     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   150.00000000        0.56568500        0.16583100        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.07754900     0.02241100     0.02241100     0.07116600     0.07754900    10.91224700     0.40033300    -0.58625800    -1.21817000    -1.67074600    -0.16276600     6.57589000    -0.14988700    -0.72866800    -1.56710100   150.00000000    92.34210200    53.69940600    53.48212400    20.78953000    10.57567200    11.24673400    11.91634900    14.09846600     8.74562500    15.20557900     0.31014200     0.41595600     0.46293100     0.46609100     0.43835400     0.40081400     0.33712100     0.33074900     0.32364300     0.33783500     0.07352500     0.00402300    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00908200   163.91757200     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    31.01422900    41.59564200    92.58625800    93.21817000    87.67074600    80.16276600    67.42411000    66.14988700    64.72866800    67.56710100         0.00000000        0.02241100     0.00757400     0.00757400    17.80000000    32.70088200    32.03901700    30.78079400    29.60676400    28.51314900    27.49616200    26.55204400    25.67706500    24.86754800    24.11988400
     03/12/1997              7            337     3.50264300    27.45622500     4.48012800     2.74562000     1.73450600     1.70691000     1.03871300     0.00000000     0.00000000     0.11689200     0.13669300     0.01980100     0.03169300     0.08520000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.26601900     0.02641100     0.00000000   161.76986700   291.58618200     1.20000000     1.00000000     3.80627700    26.41058800     0.00000000     0.71499000     0.39914600     0.22722000     0.35749500     0.00740400     0.00000000     0.00888400     0.02384200     0.00000000     0.00000000      0.00888400     0.00000000    10.79009400     0.01111700     0.00019900     0.00019900     0.01111700     0.00000000     0.00000000     0.06666700     0.06666700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   177.00000000        0.67916400        0.33945400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.12549400     0.03272600     0.03272600     0.10389200     0.12549400    12.09055100     0.49842800    -0.12679300    -0.97583000    -1.46227300    -0.52163700     6.30806700    -0.10491900    -0.54154200    -1.25943000   177.00000000    92.70721400    53.30104400    53.16865900    20.68756900    10.54521900    11.25338700    11.98354000    14.09928600     8.73063400    15.10966400     0.29818400     0.41467100     0.46063400     0.46487900     0.43731100     0.40260800     0.33846000     0.33052500     0.32270800     0.33629700     0.09100100     0.03449200    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00888400   161.76986700     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    29.81844700    41.46707900    92.12679300    92.97583000    87.46227300    80.52163700    67.69193300    66.10491900    64.54154200    67.25943000         0.00000000        0.03272600     0.01050900     0.01050900    17.80000000    32.74865300    32.08413700    30.82077800    29.64186100    28.54362100    27.52228400    26.57409500    25.69533200    24.88231700    24.13143700
     04/12/1997              8            338     3.62664300    31.58964500     5.30334300     3.15896000     2.14437900     2.08528000     1.07368400     0.00000000     0.00000000     0.13062800     0.15038900     0.01976100     0.04110100     0.08952700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.52919200     0.03425100     0.00000000   159.92918400   291.33706700     1.20000000     1.00000000     3.79139200    34.25115400     0.00000000     0.82668400     0.64013000     0.26271600     0.41334200     0.00784100     0.00000000     0.00940900     0.00432700     0.00000000     0.00000000      0.00940900     0.00000000    12.40000100     0.01458600     0.00023900     0.00023900     0.01458600     0.00000000     0.00000000     0.05649700     0.05649700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   204.00000000        0.79111100        0.55304200        0.00228000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000         0.00000000     0.06281400     0.01373600     0.01373600     0.11762800     0.06281400    13.15968300     0.62836100     0.18616500    -0.70970900    -1.23650400    -0.70483400     5.96133400    -0.07344100    -0.40111500    -1.00193800   204.00000000    93.23941800    52.91960500    52.96279900    20.55656600    10.50723600    11.23352200    12.06722400    14.10084000     8.71877900    15.03106600     0.28811200     0.41337900     0.45906900     0.46354900     0.43618300     0.40352400     0.34019300     0.33036700     0.32200600     0.33501000     0.02911200     0.03370200    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     1.00000000     0.00940900   159.92918400     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    28.81120500    41.33793600    91.81383500    92.70970900    87.23650400    80.70483400    68.03866600    66.07344100    64.40111500    67.00193800         0.00000000        0.01373600     0.01360700     0.01360700    17.70000100    32.22550600    31.57728000    30.34480500    29.19466400    28.12325900    27.12697600    26.20219800    25.34533300    24.55282000    23.82114800
